Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
2017,Lassen,8,Heart Failure,,,,,24,"25,575",93.8,98.8,,
2018,Lassen,8,Heart Failure,,,,,37,"25,359",145.9,149,,
2019,Lassen,8,Heart Failure,,,,,46,"25,378",181.3,179.9,,
2020,Lassen,8,Heart Failure,,,,,32,"26,785",119.5,122.9,,
2021,Lassen,8,Heart Failure,,,,,38,"26,258",144.7,143.5,,
2022,Lassen,8,Heart Failure,,,,,59,"24,446",241.3,221.8,,
2023,Lassen,8,Heart Failure,,,,,38,"23,438",162.1,118.3,,
2024,Lassen,8,Heart Failure,,,,,44,"22,990",191.4,155.6,,
2005,Los Angeles,8,Heart Failure,"27,897","7,202,516",387.3,488.3,,,,,,
2006,Los Angeles,8,Heart Failure,"27,617","7,208,716",383.1,478.8,,,,,,
2007,Los Angeles,8,Heart Failure,"26,609","7,223,112",368.4,452.8,,,,,,
2008,Los Angeles,8,Heart Failure,"25,246","7,281,072",346.7,420.6,,,,,,
2009,Los Angeles,8,Heart Failure,"25,437","7,353,912",345.9,414.4,,,,,,
2010,Los Angeles,8,Heart Failure,"25,147","7,416,633",339.1,400.3,,,,,,
2011,Los Angeles,8,Heart Failure,"24,769","7,504,083",330.1,384.4,,,,,,
2012,Los Angeles,8,Heart Failure,"23,014","7,317,992",314.5,348.8,,,,,,
2013,Los Angeles,8,Heart Failure,"22,273","7,410,685",300.6,329,,,,,,
2014,Los Angeles,8,Heart Failure,"21,904","7,525,122",291.1,323,,,,,,
2015,Los Angeles,8,Heart Failure,"18,181","5,622,301",323.4,339.7,,,,,,
2016,Los Angeles,8,Heart Failure,,,,,"24,899","7,844,956",317.4,393.7,,
2017,Los Angeles,8,Heart Failure,,,,,"26,165","7,870,676",332.4,406.3,,
2018,Los Angeles,8,Heart Failure,,,,,"26,582","7,879,584",337.4,406,,
2019,Los Angeles,8,Heart Failure,,,,,"27,961","7,871,889",355.2,420.4,,
2020,Los Angeles,8,Heart Failure,,,,,"22,203","7,884,705",281.6,333.3,,
2021,Los Angeles,8,Heart Failure,,,,,"24,522","7,772,371",315.5,366.2,,
2022,Los Angeles,8,Heart Failure,,,,,"26,330","7,737,357",340.3,389.2,,
2023,Los Angeles,8,Heart Failure,,,,,"29,065","7,710,575",376.9,361.7,,
2024,Los Angeles,8,Heart Failure,,,,,"28,979","7,812,233",370.9,364.3,,
2005,Madera,8,Heart Failure,316,"100,047",315.9,375.2,,,,,,
2006,Madera,8,Heart Failure,330,"102,344",322.4,383,,,,,,
2007,Madera,8,Heart Failure,286,"104,227",274.4,322.2,,,,,,
2008,Madera,8,Heart Failure,249,"105,909",235.1,274.9,,,,,,
2009,Madera,8,Heart Failure,253,"106,674",237.2,274.4,,,,,,
2010,Madera,8,Heart Failure,274,"108,385",252.8,290.2,,,,,,
2011,Madera,8,Heart Failure,285,"109,902",259.3,294.7,,,,,,
2012,Madera,8,Heart Failure,254,"106,934",237.5,257.2,,,,,,
2013,Madera,8,Heart Failure,301,"107,252",280.6,298.6,,,,,,
2014,Madera,8,Heart Failure,309,"113,845",271.4,298.5,,,,,,
2015,Madera,8,Heart Failure,230,"81,407",282.5,290,,,,,,
2016,Madera,8,Heart Failure,,,,,313,"111,156",281.6,311,,
2017,Madera,8,Heart Failure,,,,,320,"112,306",284.9,311.4,,
2018,Madera,8,Heart Failure,,,,,351,"113,445",309.4,335.8,,
2019,Madera,8,Heart Failure,,,,,355,"113,829",311.9,332.5,,
2020,Madera,8,Heart Failure,,,,,355,"113,532",312.7,334.9,,
2021,Madera,8,Heart Failure,,,,,359,"115,760",310.1,334.7,,
2022,Madera,8,Heart Failure,,,,,355,"116,890",303.7,326.5,,
2023,Madera,8,Heart Failure,,,,,438,"118,944",368.2,300.3,,
2024,Madera,8,Heart Failure,,,,,408,"121,480",335.9,280,,
2005,Marin,8,Heart Failure,519,"194,828",266.4,241.2,,,,,,
2006,Marin,8,Heart Failure,441,"194,956",226.2,201.7,,,,,,
2007,Marin,8,Heart Failure,425,"196,294",216.5,190.4,,,,,,
2008,Marin,8,Heart Failure,418,"197,929",211.2,183.4,,,,,,
2009,Marin,8,Heart Failure,418,"199,904",209.1,178.9,,,,,,
2010,Marin,8,Heart Failure,406,"201,547",201.4,170,,,,,,
2011,Marin,8,Heart Failure,399,"203,181",196.4,162,,,,,,
2012,Marin,8,Heart Failure,379,"200,046",189.5,150.7,,,,,,
2013,Marin,8,Heart Failure,423,"202,161",209.2,163,,,,,,
2014,Marin,8,Heart Failure,369,"201,613",183,142,,,,,,
2015,Marin,8,Heart Failure,314,"152,906",205.4,153.7,,,,,,
2016,Marin,8,Heart Failure,,,,,439,"207,330",211.7,258.7,,
2017,Marin,8,Heart Failure,,,,,383,"207,121",184.9,221.8,,
2018,Marin,8,Heart Failure,,,,,416,"207,824",200.2,235.4,,
2019,Marin,8,Heart Failure,,,,,446,"207,790",214.6,247.7,,
2020,Marin,8,Heart Failure,,,,,379,"209,991",180.5,208.5,,
2021,Marin,8,Heart Failure,,,,,408,"209,428",194.8,221.7,,
2022,Marin,8,Heart Failure,,,,,447,"207,716",215.2,238,,
2023,Marin,8,Heart Failure,,,,,509,"206,190",246.9,217.7,,
2024,Marin,8,Heart Failure,,,,,543,"208,562",260.4,233,,
2005,Mariposa,8,Heart Failure,35,"14,466",241.9,199.2,,,,,,
2006,Mariposa,8,Heart Failure,55,"14,728",373.4,310.3,,,,,,
2007,Mariposa,8,Heart Failure,55,"14,903",369.1,303.7,,,,,,
2008,Mariposa,8,Heart Failure,55,"14,996",366.8,295.3,,,,,,
2009,Mariposa,8,Heart Failure,33,"14,925",221.1,173.7,,,,,,
2010,Mariposa,8,Heart Failure,33,"15,017",219.8,171.3,,,,,,
2011,Mariposa,8,Heart Failure,43,"15,033",286,215.9,,,,,,
2012,Mariposa,8,Heart Failure,39,"16,563",235.5,190.3,,,,,,
2013,Mariposa,8,Heart Failure,31,"16,491",188,148.5,,,,,,
2014,Mariposa,8,Heart Failure,57,"16,335",348.9,268.3,,,,,,
2015,Mariposa,8,Heart Failure,43,"12,911",333,262.4,,,,,,
2016,Mariposa,8,Heart Failure,,,,,43,"14,636",293.8,229.7,,
2017,Mariposa,8,Heart Failure,,,,,57,"14,614",390,299,,
2018,Mariposa,8,Heart Failure,,,,,43,"14,527",296,224.6,,
2019,Mariposa,8,Heart Failure,,,,,56,"14,338",390.6,290.3,,
2020,Mariposa,8,Heart Failure,,,,,62,"14,229",435.7,316.9,,
2021,Mariposa,8,Heart Failure,,,,,74,"14,120",524.1,375.7,,
2022,Mariposa,8,Heart Failure,,,,,58,"14,037",413.2,290.4,,
2023,Mariposa,8,Heart Failure,,,,,62,"13,883",446.6,261.2,,
2024,Mariposa,8,Heart Failure,,,,,43,"14,107",304.8,178.1,,
2005,Mendocino,8,Heart Failure,185,"67,693",273.3,260.4,,,,,,
2006,Mendocino,8,Heart Failure,169,"67,469",250.5,235.8,,,,,,
2007,Mendocino,8,Heart Failure,188,"67,582",278.2,256.9,,,,,,
2008,Mendocino,8,Heart Failure,184,"68,025",270.5,245.9,,,,,,
2009,Mendocino,8,Heart Failure,177,"68,421",258.7,232.9,,,,,,
2010,Mendocino,8,Heart Failure,203,"68,517",296.3,265.9,,,,,,
2011,Mendocino,8,Heart Failure,182,"68,336",266.3,233.3,,,,,,
2012,Mendocino,8,Heart Failure,222,"68,344",324.8,278,,,,,,
2013,Mendocino,8,Heart Failure,227,"68,379",332,279.2,,,,,,
2014,Mendocino,8,Heart Failure,199,"69,334",287,243.3,,,,,,
2015,Mendocino,8,Heart Failure,151,"51,516",293.1,238.3,,,,,,
2016,Mendocino,8,Heart Failure,,,,,202,"68,410",295.3,252.9,,
2017,Mendocino,8,Heart Failure,,,,,215,"68,784",312.6,263.6,,
2018,Mendocino,8,Heart Failure,,,,,235,"68,876",341.2,282.5,,
2019,Mendocino,8,Heart Failure,,,,,246,"68,548",358.9,290.7,,
2020,Mendocino,8,Heart Failure,,,,,206,"71,994",286.1,231.1,,
2021,Mendocino,8,Heart Failure,,,,,202,"71,916",280.9,223.7,,
2022,Mendocino,8,Heart Failure,,,,,244,"71,066",343.3,265.9,,
2023,Mendocino,8,Heart Failure,,,,,303,"70,576",429.3,273.2,,
2024,Mendocino,8,Heart Failure,,,,,262,"70,848",369.8,236.7,,
2005,Merced,8,Heart Failure,584,"162,795",358.7,480,,,,,,
2006,Merced,8,Heart Failure,659,"165,009",399.4,535.4,,,,,,
2007,Merced,8,Heart Failure,587,"167,724",350,462.5,,,,,,
2008,Merced,8,Heart Failure,572,"169,736",337,439.2,,,,,,
2009,Merced,8,Heart Failure,518,"171,809",301.5,386.8,,,,,,
2010,Merced,8,Heart Failure,544,"175,232",310.4,393,,,,,,
2011,Merced,8,Heart Failure,616,"178,783",344.6,430.9,,,,,,
2012,Merced,8,Heart Failure,496,"174,274",284.6,338.7,,,,,,
2013,Merced,8,Heart Failure,542,"176,084",307.8,361.8,,,,,,
2014,Merced,8,Heart Failure,528,"184,892",285.6,348.1,,,,,,
2015,Merced,8,Heart Failure,456,"133,727",341,384.1,,,,,,
2016,Merced,8,Heart Failure,,,,,842,"187,379",449.4,504.5,,
2017,Merced,8,Heart Failure,,,,,968,"190,075",509.3,570.4,,
2018,Merced,8,Heart Failure,,,,,960,"193,011",497.4,555.4,,
2019,Merced,8,Heart Failure,,,,,"1,013","196,051",516.7,572.7,,
2020,Merced,8,Heart Failure,,,,,796,"199,655",398.7,442.1,,
2021,Merced,8,Heart Failure,,,,,928,"201,787",459.9,506.2,,
2022,Merced,8,Heart Failure,,,,,887,"207,099",428.3,476.7,,
2023,Merced,8,Heart Failure,,,,,953,"209,020",455.9,418.1,,
2024,Merced,8,Heart Failure,,,,,934,"214,218",436,409.1,,
2005,Modoc,8,Heart Failure,10,"7,407",135,109.9,,,,,,
2006,Modoc,8,Heart Failure,15,"7,461",201,165.2,,,,,,
2007,Modoc,8,Heart Failure,17,"7,429",228.8,181.6,,,,,,
2008,Modoc,8,Heart Failure,13,"7,469",174.1,139,,,,,,
2009,Modoc,8,Heart Failure,21,"7,565",277.6,218.8,,,,,,
2010,Modoc,8,Heart Failure,23,"7,599",302.7,236.3,,,,,,
2011,Modoc,8,Heart Failure,11,"7,517",146.3,110,,,,,,
2012,Modoc,8,Heart Failure,21,"9,249",227.1,211.9,,,,,,
2013,Modoc,8,Heart Failure,14,"9,141",153.2,140.4,,,,,,
2014,Modoc,8,Heart Failure,19,"8,570",221.7,185.7,,,,,,
2015,Modoc,8,Heart Failure,10,"7,417",134.8,131.6,,,,,,
2016,Modoc,8,Heart Failure,,,,,18,"7,172",251,141,,
2017,Modoc,8,Heart Failure,,,,,21,"7,115",295.2,162.5,,
2018,Modoc,8,Heart Failure,,,,,15,"7,067",212.3,114.5,,
2019,Modoc,8,Heart Failure,,,,,14,"7,114",196.8,104.7,,
2020,Modoc,8,Heart Failure,,,,,18,"6,998",257.2,134.5,,
2021,Modoc,8,Heart Failure,,,,,10,"7,005",142.8,72.6,,
2022,Modoc,8,Heart Failure,,,,,14,"6,957",201.2,100.2,,
2023,Modoc,8,Heart Failure,,,,,11,"6,906",159.3,77.4,,
2024,Modoc,8,Heart Failure,,,,,19,"6,922",274.5,165.4,,
2005,Mono,8,Heart Failure,5,"10,514",47.6,81.3,,,,,,
2006,Mono,8,Heart Failure,2,"10,747",18.6,30.2,,,,,,
2007,Mono,8,Heart Failure,4,"10,719",37.3,58.1,,,,,,
2008,Mono,8,Heart Failure,5,"10,892",45.9,68.8,,,,,,
2009,Mono,8,Heart Failure,2,"11,055",18.1,26.5,,,,,,
2010,Mono,8,Heart Failure,3,"11,224",26.7,38.2,,,,,,
2011,Mono,8,Heart Failure,0,"11,294",0,0,,,,,,
2012,Mono,8,Heart Failure,2,"13,186",15.2,22.8,,,,,,
2013,Mono,8,Heart Failure,6,"12,990",46.2,65.9,,,,,,
2014,Mono,8,Heart Failure,4,"12,503",32,44.5,,,,,,
2015,Mono,8,Heart Failure,3,"10,444",28.7,40.6,,,,,,
2016,Mono,8,Heart Failure,,,,,6,"11,591",51.8,72.5,,
2017,Mono,8,Heart Failure,,,,,6,"11,686",51.3,70.1,,
2018,Mono,8,Heart Failure,,,,,6,"11,760",51,67.7,,
2019,Mono,8,Heart Failure,,,,,14,"11,882",117.8,151.7,,
2020,Mono,8,Heart Failure,,,,,12,"10,909",110,140.6,,
2021,Mono,8,Heart Failure,,,,,12,"10,984",109.2,136,,
2022,Mono,8,Heart Failure,,,,,13,"10,782",120.6,145.2,,
2023,Mono,8,Heart Failure,,,,,7,"10,809",64.8,74.9,,
2024,Mono,8,Heart Failure,,,,,2,"10,725",18.6,19.3,,
2005,Monterey,8,Heart Failure,789,"294,634",267.8,323.5,,,,,,
2006,Monterey,8,Heart Failure,897,"292,832",306.3,366.9,,,,,,
2007,Monterey,8,Heart Failure,739,"293,684",251.6,296.6,,,,,,
2008,Monterey,8,Heart Failure,683,"296,155",230.6,269,,,,,,
2009,Monterey,8,Heart Failure,661,"299,502",220.7,254.5,,,,,,
2010,Monterey,8,Heart Failure,641,"304,351",210.6,240.6,,,,,,
2011,Monterey,8,Heart Failure,598,"308,056",194.1,219.8,,,,,,
2012,Monterey,8,Heart Failure,610,"301,958",202,219.4,,,,,,
2013,Monterey,8,Heart Failure,660,"304,287",216.9,231.4,,,,,,
2014,Monterey,8,Heart Failure,590,"305,907",192.9,207.2,,,,,,
2015,Monterey,8,Heart Failure,487,"229,305",212.4,217.4,,,,,,
2016,Monterey,8,Heart Failure,,,,,703,"318,887",220.5,300,,
2017,Monterey,8,Heart Failure,,,,,806,"319,394",252.4,337.8,,
2018,Monterey,8,Heart Failure,,,,,"1,019","319,764",318.7,419.6,,
2019,Monterey,8,Heart Failure,,,,,"1,116","320,591",348.1,451.9,,
2020,Monterey,8,Heart Failure,,,,,919,"324,926",282.8,366.5,,
2021,Monterey,8,Heart Failure,,,,,"1,016","325,443",312.2,400.1,,
2022,Monterey,8,Heart Failure,,,,,"1,085","322,881",336,421.1,,
2023,Monterey,8,Heart Failure,,,,,"1,201","321,055",374.1,403.2,,
2024,Monterey,8,Heart Failure,,,,,"1,125","326,450",344.6,382.4,,
2005,Napa,8,Heart Failure,296,"99,628",297.1,264,,,,,,
2006,Napa,8,Heart Failure,294,"100,569",292.3,258.9,,,,,,
2007,Napa,8,Heart Failure,296,"101,701",291,256.7,,,,,,
2008,Napa,8,Heart Failure,317,"102,958",307.9,270.1,,,,,,
2009,Napa,8,Heart Failure,302,"103,909",290.6,256.2,,,,,,
2010,Napa,8,Heart Failure,353,"105,302",335.2,296,,,,,,
2011,Napa,8,Heart Failure,391,"106,488",367.2,322.8,,,,,,
2012,Napa,8,Heart Failure,356,"106,095",335.5,288.7,,,,,,
2013,Napa,8,Heart Failure,369,"107,433",343.5,294,,,,,,
2014,Napa,8,Heart Failure,363,"108,610",334.2,289.8,,,,,,
2015,Napa,8,Heart Failure,277,"82,361",336.3,283.6,,,,,,
2016,Napa,8,Heart Failure,,,,,356,"110,813",321.3,383.1,,
2017,Napa,8,Heart Failure,,,,,383,"110,539",346.5,407.5,,
2018,Napa,8,Heart Failure,,,,,400,"110,023",363.6,422.3,,
2019,Napa,8,Heart Failure,,,,,366,"109,823",333.3,380.5,,
2020,Napa,8,Heart Failure,,,,,221,"110,025",200.9,224.9,,
2021,Napa,8,Heart Failure,,,,,258,"109,635",235.3,261.4,,
2022,Napa,8,Heart Failure,,,,,313,"108,501",288.5,313,,
2023,Napa,8,Heart Failure,,,,,319,"107,838",295.8,288.3,,
2024,Napa,8,Heart Failure,,,,,324,"108,121",299.7,295.1,,
2005,Nevada,8,Heart Failure,195,"77,111",252.9,205.5,,,,,,
2006,Nevada,8,Heart Failure,240,"77,728",308.8,246.5,,,,,,
2007,Nevada,8,Heart Failure,243,"78,179",310.8,244.1,,,,,,
2008,Nevada,8,Heart Failure,223,"78,803",283,220,,,,,,
2009,Nevada,8,Heart Failure,207,"79,505",260.4,201,,,,,,
2010,Nevada,8,Heart Failure,208,"80,097",259.7,198.1,,,,,,
2011,Nevada,8,Heart Failure,183,"80,389",227.6,169.6,,,,,,
2012,Nevada,8,Heart Failure,170,"80,329",211.6,154.1,,,,,,
2013,Nevada,8,Heart Failure,180,"80,699",223.1,160,,,,,,
2014,Nevada,8,Heart Failure,179,"82,513",216.9,156.7,,,,,,
2015,Nevada,8,Heart Failure,167,"61,125",273.2,189.1,,,,,,
2016,Nevada,8,Heart Failure,,,,,258,"81,656",316,291.5,,
2017,Nevada,8,Heart Failure,,,,,242,"82,237",294.3,267.6,,
2018,Nevada,8,Heart Failure,,,,,275,"82,386",333.8,298.1,,
2019,Nevada,8,Heart Failure,,,,,326,"82,691",394.2,346,,
2020,Nevada,8,Heart Failure,,,,,280,"84,957",329.6,286.2,,
2021,Nevada,8,Heart Failure,,,,,286,"86,140",332,288.2,,
2022,Nevada,8,Heart Failure,,,,,272,"85,163",319.4,271.4,,
2023,Nevada,8,Heart Failure,,,,,275,"84,878",324,231.7,,
2024,Nevada,8,Heart Failure,,,,,262,"85,129",307.8,227.3,,
2005,Orange,8,Heart Failure,"5,903","2,180,617",270.7,326.7,,,,,,
2006,Orange,8,Heart Failure,"5,873","2,185,121",268.8,319.5,,,,,,
2007,Orange,8,Heart Failure,"5,700","2,194,736",259.7,302.5,,,,,,
2008,Orange,8,Heart Failure,"5,304","2,219,901",238.9,274.5,,,,,,
2009,Orange,8,Heart Failure,"5,374","2,249,030",238.9,270.7,,,,,,
2010,Orange,8,Heart Failure,"5,429","2,279,215",238.2,266.3,,,,,,
2011,Orange,8,Heart Failure,"5,324","2,319,605",229.5,252.7,,,,,,
2012,Orange,8,Heart Failure,"4,958","2,270,432",218.4,228.8,,,,,,
2013,Orange,8,Heart Failure,"4,760","2,303,808",206.6,213.2,,,,,,
2014,Orange,8,Heart Failure,"4,751","2,330,275",203.9,212,,,,,,
2015,Orange,8,Heart Failure,"3,987","1,754,644",227.2,224.4,,,,,,
2016,Orange,8,Heart Failure,,,,,"5,606","2,451,869",228.6,304.7,,
2017,Orange,8,Heart Failure,,,,,"5,796","2,467,473",234.9,307.7,,
2018,Orange,8,Heart Failure,,,,,"5,868","2,477,165",236.9,304.7,,
2019,Orange,8,Heart Failure,,,,,"6,163","2,481,860",248.3,313.6,,
2020,Orange,8,Heart Failure,,,,,"4,851","2,500,521",194,245.9,,
2021,Orange,8,Heart Failure,,,,,"5,166","2,492,420",207.3,258.5,,
2022,Orange,8,Heart Failure,,,,,"5,574","2,496,667",223.3,273.4,,
2023,Orange,8,Heart Failure,,,,,"6,240","2,489,875",250.6,297,,
2024,Orange,8,Heart Failure,,,,,"6,214","2,527,530",245.9,277.4,,
2005,Placer,8,Heart Failure,606,"233,967",259,256.8,,,,,,
2006,Placer,8,Heart Failure,696,"241,760",287.9,278,,,,,,
2007,Placer,8,Heart Failure,648,"247,749",261.6,249.1,,,,,,
2008,Placer,8,Heart Failure,524,"254,728",205.7,192.4,,,,,,
2009,Placer,8,Heart Failure,526,"260,230",202.1,185.5,,,,,,
2010,Placer,8,Heart Failure,564,"265,780",212.2,191.9,,,,,,
2011,Placer,8,Heart Failure,557,"272,624",204.3,181.5,,,,,,
2012,Placer,8,Heart Failure,515,"269,220",191.3,162.1,,,,,,
2013,Placer,8,Heart Failure,496,"275,142",180.3,149.9,,,,,,
2014,Placer,8,Heart Failure,466,"291,385",159.9,136.1,,,,,,
2015,Placer,8,Heart Failure,453,"211,518",214.2,170.1,,,,,,
2016,Placer,8,Heart Failure,,,,,725,"293,620",246.9,327.8,,
2017,Placer,8,Heart Failure,,,,,724,"299,061",242.1,317.6,,
2018,Placer,8,Heart Failure,,,,,769,"305,287",251.9,326.7,,
2019,Placer,8,Heart Failure,,,,,801,"310,947",257.6,329.5,,
2020,Placer,8,Heart Failure,,,,,736,"316,575",232.5,297.1,,
2021,Placer,8,Heart Failure,,,,,803,"323,151",248.5,317.5,,
2022,Placer,8,Heart Failure,,,,,869,"327,593",265.3,333.2,,
2023,Placer,8,Heart Failure,,,,,997,"332,465",299.9,319.1,,
2024,Placer,8,Heart Failure,,,,,"1,032","341,342",302.3,327.6,,
2005,Plumas,8,Heart Failure,43,"16,762",256.5,216.2,,,,,,
2006,Plumas,8,Heart Failure,35,"16,591",211,176.2,,,,,,
2007,Plumas,8,Heart Failure,53,"16,601",319.3,261.5,,,,,,
2008,Plumas,8,Heart Failure,53,"16,522",320.8,255.8,,,,,,
2009,Plumas,8,Heart Failure,51,"16,384",311.3,245.8,,,,,,
2010,Plumas,8,Heart Failure,34,"16,311",208.4,161.7,,,,,,
2011,Plumas,8,Heart Failure,39,"16,243",240.1,182.1,,,,,,
2012,Plumas,8,Heart Failure,30,"17,560",170.8,140,,,,,,
2013,Plumas,8,Heart Failure,28,"17,229",162.5,130.8,,,,,,
2014,Plumas,8,Heart Failure,47,"16,981",276.8,215.6,,,,,,
2015,Plumas,8,Heart Failure,27,"13,235",204,164.8,,,,,,
2016,Plumas,8,Heart Failure,,,,,31,"15,495",200.1,158.2,,
2017,Plumas,8,Heart Failure,,,,,29,"15,484",187.3,145.6,,
2018,Plumas,8,Heart Failure,,,,,47,"15,597",301.3,229.8,,
2019,Plumas,8,Heart Failure,,,,,35,"15,757",222.1,165.8,,
2020,Plumas,8,Heart Failure,,,,,19,"16,254",116.9,87.4,,
2021,Plumas,8,Heart Failure,,,,,26,"16,481",157.8,116.7,,
2022,Plumas,8,Heart Failure,,,,,18,"16,081",111.9,79.7,,
2023,Plumas,8,Heart Failure,,,,,40,"15,900",251.6,164.9,,
2024,Plumas,8,Heart Failure,,,,,26,"15,717",165.4,104.7,,
2005,Riverside,8,Heart Failure,"4,801","1,365,225",351.7,394.2,,,,,,
2006,Riverside,8,Heart Failure,"4,812","1,423,074",338.1,381.2,,,,,,
2007,Riverside,8,Heart Failure,"4,723","1,468,741",321.6,361.8,,,,,,
2008,Riverside,8,Heart Failure,"4,508","1,497,677",301,334.8,,,,,,
2009,Riverside,8,Heart Failure,"4,375","1,532,584",285.5,314,,,,,,
2010,Riverside,8,Heart Failure,"4,711","1,579,716",298.2,326.4,,,,,,
2011,Riverside,8,Heart Failure,"4,662","1,618,245",288.1,312.8,,,,,,
2012,Riverside,8,Heart Failure,"4,368","1,578,971",276.6,284.3,,,,,,
2013,Riverside,8,Heart Failure,"4,522","1,608,253",281.2,284.8,,,,,,
2014,Riverside,8,Heart Failure,"4,746","1,723,126",275.4,293.1,,,,,,
2015,Riverside,8,Heart Failure,"3,795","1,235,866",307.1,299,,,,,,
2016,Riverside,8,Heart Failure,,,,,"5,169","1,764,865",292.9,385.4,,
2017,Riverside,8,Heart Failure,,,,,"5,368","1,797,423",298.6,387.9,,
2018,Riverside,8,Heart Failure,,,,,"5,856","1,827,877",320.4,411.2,,
2019,Riverside,8,Heart Failure,,,,,"6,177","1,852,582",333.4,421.7,,
2020,Riverside,8,Heart Failure,,,,,"5,228","1,826,892",286.2,362.9,,
2021,Riverside,8,Heart Failure,,,,,"5,813","1,856,272",313.2,396.9,,
2022,Riverside,8,Heart Failure,,,,,"6,088","1,880,349",323.8,407.1,,
2023,Riverside,8,Heart Failure,,,,,"6,707","1,899,181",353.2,379.8,,
2024,Riverside,8,Heart Failure,,,,,"6,484","1,938,337",334.5,372,,
2005,Sacramento,8,Heart Failure,"3,218","1,001,691",321.3,381.3,,,,,,
2006,Sacramento,8,Heart Failure,"3,238","1,010,429",320.5,377.7,,,,,,
2007,Sacramento,8,Heart Failure,"3,235","1,020,852",316.9,369.6,,,,,,
2008,Sacramento,8,Heart Failure,"3,170","1,032,542",307,353.6,,,,,,
2009,Sacramento,8,Heart Failure,"3,157","1,046,094",301.8,344,,,,,,
2010,Sacramento,8,Heart Failure,"2,934","1,058,518",277.2,312.6,,,,,,
2011,Sacramento,8,Heart Failure,"3,118","1,075,584",289.9,322.4,,,,,,
2012,Sacramento,8,Heart Failure,"2,909","1,052,498",276.4,293.8,,,,,,
2013,Sacramento,8,Heart Failure,"3,327","1,066,996",311.8,326.7,,,,,,
2014,Sacramento,8,Heart Failure,"3,496","1,102,714",317,340.9,,,,,,
2015,Sacramento,8,Heart Failure,"2,998","812,828",368.8,371.8,,,,,,
2016,Sacramento,8,Heart Failure,,,,,"4,256","1,147,725",370.8,415.7,,
2017,Sacramento,8,Heart Failure,,,,,"4,604","1,163,101",395.8,439.5,,
2018,Sacramento,8,Heart Failure,,,,,"4,755","1,175,207",404.6,445,,
2019,Sacramento,8,Heart Failure,,,,,"4,931","1,187,953",415.1,452.2,,
2020,Sacramento,8,Heart Failure,,,,,"4,412","1,219,067",361.9,394.2,,
2021,Sacramento,8,Heart Failure,,,,,"4,991","1,224,233",407.7,440.8,,
2022,Sacramento,8,Heart Failure,,,,,"4,913","1,225,015",401.1,426.1,,
2023,Sacramento,8,Heart Failure,,,,,"5,816","1,226,535",474.2,498,,
2024,Sacramento,8,Heart Failure,,,,,"5,853","1,250,922",467.9,532.2,,
2005,San Benito,8,Heart Failure,103,"38,212",269.5,362,,,,,,
2006,San Benito,8,Heart Failure,117,"37,946",308.3,402.7,,,,,,
2007,San Benito,8,Heart Failure,91,"37,962",239.7,305.9,,,,,,
2008,San Benito,8,Heart Failure,121,"38,262",316.2,395.8,,,,,,
2009,San Benito,8,Heart Failure,78,"38,665",201.7,248.2,,,,,,
2010,San Benito,8,Heart Failure,104,"39,605",262.6,319.8,,,,,,
2011,San Benito,8,Heart Failure,79,"40,266",196.2,234.1,,,,,,
2012,San Benito,8,Heart Failure,101,"41,402",243.9,287.3,,,,,,
2013,San Benito,8,Heart Failure,104,"42,194",246.5,285,,,,,,
2014,San Benito,8,Heart Failure,105,"41,257",254.5,290,,,,,,
2015,San Benito,8,Heart Failure,102,"33,017",308.9,345.4,,,,,,
2016,San Benito,8,Heart Failure,,,,,131,"43,752",299.4,453.5,,
2017,San Benito,8,Heart Failure,,,,,120,"44,628",268.9,405.6,,
2018,San Benito,8,Heart Failure,,,,,104,"45,599",228.1,343.8,,
2019,San Benito,8,Heart Failure,,,,,112,"46,798",239.3,357.1,,
2020,San Benito,8,Heart Failure,,,,,95,"48,106",197.5,296.1,,
2021,San Benito,8,Heart Failure,,,,,105,"49,790",210.9,318.7,,
2022,San Benito,8,Heart Failure,,,,,124,"50,683",244.7,365.8,,
2023,San Benito,8,Heart Failure,,,,,146,"51,135",285.5,381.2,,
2024,San Benito,8,Heart Failure,,,,,123,"52,121",236,341.9,,
2005,San Bernardino,8,Heart Failure,"5,164","1,347,408",383.3,549.7,,,,,,
2006,San Bernardino,8,Heart Failure,"4,914","1,373,516",357.8,512.1,,,,,,
2007,San Bernardino,8,Heart Failure,"4,579","1,390,849",329.2,466.9,,,,,,
2008,San Bernardino,8,Heart Failure,"4,561","1,405,191",324.6,452.4,,,,,,
2009,San Bernardino,8,Heart Failure,"4,502","1,420,975",316.8,433.6,,,,,,
2010,San Bernardino,8,Heart Failure,"4,657","1,447,189",321.8,434.1,,,,,,
2011,San Bernardino,8,Heart Failure,"4,445","1,474,036",301.6,401.7,,,,,,
2012,San Bernardino,8,Heart Failure,"4,287","1,428,592",300.1,376.5,,,,,,
2013,San Bernardino,8,Heart Failure,"4,506","1,446,673",311.5,383.5,,,,,,
2014,San Bernardino,8,Heart Failure,"4,451","1,521,005",292.6,376.5,,,,,,
2015,San Bernardino,8,Heart Failure,"3,542","1,099,744",322.1,378.1,,,,,,
