County,Region,PQIDescription,YearsToRetirement,CtyRetirePercent,RegionRetirePercent,StRetirePercent
Imperial,San Diego Area,Community-Acquired Pneumonia,3-5 years,0.185,0.141,0.141
Imperial,San Diego Area,Community-Acquired Pneumonia,6-10 years,0.293,0.18,0.178
Imperial,San Diego Area,Community-Acquired Pneumonia,11+ years,0.522,0.629,0.638
Imperial,San Diego Area,COPD or Asthma in Older Adults (Age 40+),0-2 years,0,0.051,0.041
Imperial,San Diego Area,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.136,0.14,0.141
Imperial,San Diego Area,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.299,0.175,0.175
Imperial,San Diego Area,COPD or Asthma in Older Adults (Age 40+),11+ years,0.565,0.634,0.642
Imperial,San Diego Area,Diabetes Composite,0-2 years,0.046,0.05,0.041
Imperial,San Diego Area,Diabetes Composite,3-5 years,0.147,0.135,0.138
Imperial,San Diego Area,Diabetes Composite,6-10 years,0.29,0.176,0.173
Imperial,San Diego Area,Diabetes Composite,11+ years,0.517,0.639,0.647
Imperial,San Diego Area,Heart Failure,0-2 years,0,0.042,0.039
Imperial,San Diego Area,Heart Failure,3-5 years,0.115,0.13,0.135
Imperial,San Diego Area,Heart Failure,6-10 years,0.275,0.172,0.174
Imperial,San Diego Area,Heart Failure,11+ years,0.611,0.656,0.653
Imperial,San Diego Area,Hypertension,0-2 years,0,0.044,0.039
Imperial,San Diego Area,Hypertension,3-5 years,0.128,0.127,0.135
Imperial,San Diego Area,Hypertension,6-10 years,0.274,0.175,0.174
Imperial,San Diego Area,Hypertension,11+ years,0.598,0.654,0.653
Imperial,San Diego Area,Urinary Tract Infection,0-2 years,0,0.049,0.044
Imperial,San Diego Area,Urinary Tract Infection,3-5 years,0.121,0.143,0.144
Imperial,San Diego Area,Urinary Tract Infection,6-10 years,0.336,0.18,0.18
Imperial,San Diego Area,Urinary Tract Infection,11+ years,0.543,0.628,0.632
Inyo,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0,0.088,0.041
Inyo,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.335,0.227,0.141
Inyo,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.47,0.2,0.175
Inyo,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.195,0.483,0.642
Inyo,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0,0.086,0.043
Inyo,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.335,0.225,0.141
Inyo,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.47,0.2,0.178
Inyo,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.195,0.487,0.638
Inyo,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0,0.087,0.041
Inyo,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.335,0.231,0.141
Inyo,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.47,0.199,0.175
Inyo,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.195,0.481,0.642
Inyo,Northern and Sierra,Diabetes Composite,0-2 years,0,0.084,0.041
Inyo,Northern and Sierra,Diabetes Composite,3-5 years,0.335,0.233,0.138
Inyo,Northern and Sierra,Diabetes Composite,6-10 years,0.47,0.201,0.173
Inyo,Northern and Sierra,Diabetes Composite,11+ years,0.195,0.481,0.647
Inyo,Northern and Sierra,Heart Failure,0-2 years,0,0.077,0.039
Inyo,Northern and Sierra,Heart Failure,3-5 years,0.256,0.227,0.135
Inyo,Northern and Sierra,Heart Failure,6-10 years,0.271,0.192,0.174
Inyo,Northern and Sierra,Heart Failure,11+ years,0.472,0.504,0.653
Inyo,Northern and Sierra,Hypertension,0-2 years,0,0.076,0.039
Inyo,Northern and Sierra,Hypertension,3-5 years,0.256,0.226,0.135
Inyo,Northern and Sierra,Hypertension,6-10 years,0.271,0.19,0.174
Inyo,Northern and Sierra,Hypertension,11+ years,0.472,0.507,0.653
Inyo,Northern and Sierra,Urinary Tract Infection,0-2 years,0,0.096,0.044
Inyo,Northern and Sierra,Urinary Tract Infection,3-5 years,0.305,0.225,0.144
Inyo,Northern and Sierra,Urinary Tract Infection,6-10 years,0.428,0.189,0.18
Inyo,Northern and Sierra,Urinary Tract Infection,11+ years,0.266,0.488,0.632
Kern,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),0-2 years,0.048,0.034,0.041
Kern,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),3-5 years,0.13,0.137,0.141
Kern,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),6-10 years,0.169,0.191,0.175
Kern,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),11+ years,0.653,0.639,0.642
Kern,San Joaquin Valley,Community-Acquired Pneumonia,0-2 years,0.048,0.032,0.043
Kern,San Joaquin Valley,Community-Acquired Pneumonia,3-5 years,0.131,0.135,0.141
Kern,San Joaquin Valley,Community-Acquired Pneumonia,6-10 years,0.165,0.191,0.178
Kern,San Joaquin Valley,Community-Acquired Pneumonia,11+ years,0.656,0.641,0.638
Kern,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.048,0.034,0.041
Kern,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.129,0.137,0.141
Kern,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.167,0.19,0.175
Kern,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),11+ years,0.656,0.639,0.642
Kern,San Joaquin Valley,Diabetes Composite,0-2 years,0.048,0.032,0.041
Kern,San Joaquin Valley,Diabetes Composite,3-5 years,0.117,0.131,0.138
Kern,San Joaquin Valley,Diabetes Composite,6-10 years,0.16,0.188,0.173
Kern,San Joaquin Valley,Diabetes Composite,11+ years,0.675,0.648,0.647
Kern,San Joaquin Valley,Heart Failure,0-2 years,0.041,0.029,0.039
Kern,San Joaquin Valley,Heart Failure,3-5 years,0.13,0.127,0.135
Kern,San Joaquin Valley,Heart Failure,6-10 years,0.161,0.18,0.174
Kern,San Joaquin Valley,Heart Failure,11+ years,0.668,0.664,0.653
Kern,San Joaquin Valley,Hypertension,0-2 years,0.041,0.031,0.039
Kern,San Joaquin Valley,Hypertension,3-5 years,0.128,0.126,0.135
Kern,San Joaquin Valley,Hypertension,6-10 years,0.151,0.177,0.174
Kern,San Joaquin Valley,Hypertension,11+ years,0.68,0.666,0.653
Kern,San Joaquin Valley,Urinary Tract Infection,0-2 years,0.048,0.035,0.044
Kern,San Joaquin Valley,Urinary Tract Infection,3-5 years,0.149,0.137,0.144
Kern,San Joaquin Valley,Urinary Tract Infection,6-10 years,0.175,0.191,0.18
Kern,San Joaquin Valley,Urinary Tract Infection,11+ years,0.629,0.636,0.632
Kings,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),0-2 years,0,0.034,0.041
Kings,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),3-5 years,0.132,0.137,0.141
Kings,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),6-10 years,0.305,0.191,0.175
Kings,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),11+ years,0.563,0.639,0.642
Kings,San Joaquin Valley,Community-Acquired Pneumonia,0-2 years,0,0.032,0.043
Kings,San Joaquin Valley,Community-Acquired Pneumonia,3-5 years,0.132,0.135,0.141
Kings,San Joaquin Valley,Community-Acquired Pneumonia,6-10 years,0.326,0.191,0.178
Kings,San Joaquin Valley,Community-Acquired Pneumonia,11+ years,0.542,0.641,0.638
Kings,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),0-2 years,0,0.034,0.041
Kings,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.132,0.137,0.141
Kings,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.305,0.19,0.175
Kings,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),11+ years,0.563,0.639,0.642
Kings,San Joaquin Valley,Diabetes Composite,0-2 years,0,0.032,0.041
Kings,San Joaquin Valley,Diabetes Composite,3-5 years,0.129,0.131,0.138
Kings,San Joaquin Valley,Diabetes Composite,6-10 years,0.319,0.188,0.173
Kings,San Joaquin Valley,Diabetes Composite,11+ years,0.552,0.648,0.647
Kings,San Joaquin Valley,Heart Failure,0-2 years,0,0.029,0.039
Kings,San Joaquin Valley,Heart Failure,3-5 years,0.124,0.127,0.135
Kings,San Joaquin Valley,Heart Failure,6-10 years,0.286,0.18,0.174
Kings,San Joaquin Valley,Heart Failure,11+ years,0.59,0.664,0.653
Kings,San Joaquin Valley,Hypertension,0-2 years,0,0.031,0.039
Kings,San Joaquin Valley,Hypertension,3-5 years,0.122,0.126,0.135
Kings,San Joaquin Valley,Hypertension,6-10 years,0.3,0.177,0.174
Kings,San Joaquin Valley,Hypertension,11+ years,0.579,0.666,0.653
Kings,San Joaquin Valley,Urinary Tract Infection,0-2 years,0.026,0.035,0.044
Kings,San Joaquin Valley,Urinary Tract Infection,3-5 years,0.117,0.137,0.144
Kings,San Joaquin Valley,Urinary Tract Infection,6-10 years,0.271,0.191,0.18
Kings,San Joaquin Valley,Urinary Tract Infection,11+ years,0.586,0.636,0.632
Lake,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0.226,0.088,0.041
Lake,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.479,0.227,0.141
Lake,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.074,0.2,0.175
Lake,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.221,0.483,0.642
Lake,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0.226,0.086,0.043
Lake,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.479,0.225,0.141
Lake,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.074,0.2,0.178
Lake,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.221,0.487,0.638
Lake,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.226,0.087,0.041
Lake,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.479,0.231,0.141
Lake,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.074,0.199,0.175
Lake,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.221,0.481,0.642
Lake,Northern and Sierra,Diabetes Composite,0-2 years,0.213,0.084,0.041
Lake,Northern and Sierra,Diabetes Composite,3-5 years,0.45,0.233,0.138
Lake,Northern and Sierra,Diabetes Composite,6-10 years,0.069,0.201,0.173
Lake,Northern and Sierra,Diabetes Composite,11+ years,0.267,0.481,0.647
Lake,Northern and Sierra,Heart Failure,0-2 years,0.225,0.077,0.039
Lake,Northern and Sierra,Heart Failure,3-5 years,0.317,0.227,0.135
Lake,Northern and Sierra,Heart Failure,6-10 years,0.049,0.192,0.174
Lake,Northern and Sierra,Heart Failure,11+ years,0.408,0.504,0.653
Lake,Northern and Sierra,Hypertension,0-2 years,0.225,0.076,0.039
Lake,Northern and Sierra,Hypertension,3-5 years,0.317,0.226,0.135
Lake,Northern and Sierra,Hypertension,6-10 years,0.049,0.19,0.174
Lake,Northern and Sierra,Hypertension,11+ years,0.408,0.507,0.653
Lake,Northern and Sierra,Urinary Tract Infection,0-2 years,0.193,0.096,0.044
Lake,Northern and Sierra,Urinary Tract Infection,3-5 years,0.503,0.225,0.144
Lake,Northern and Sierra,Urinary Tract Infection,6-10 years,0.063,0.189,0.18
Lake,Northern and Sierra,Urinary Tract Infection,11+ years,0.241,0.488,0.632
Lassen,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0,0.088,0.041
Lassen,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.47,0.227,0.141
Lassen,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.172,0.2,0.175
Lassen,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.358,0.483,0.642
Lassen,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0,0.086,0.043
Lassen,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.47,0.225,0.141
Lassen,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.172,0.2,0.178
Lassen,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.358,0.487,0.638
Lassen,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0,0.087,0.041
Lassen,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.47,0.231,0.141
Lassen,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.172,0.199,0.175
Lassen,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.358,0.481,0.642
Lassen,Northern and Sierra,Diabetes Composite,0-2 years,0,0.084,0.041
Lassen,Northern and Sierra,Diabetes Composite,3-5 years,0.47,0.233,0.138
Lassen,Northern and Sierra,Diabetes Composite,6-10 years,0.172,0.201,0.173
Lassen,Northern and Sierra,Diabetes Composite,11+ years,0.358,0.481,0.647
Lassen,Northern and Sierra,Heart Failure,0-2 years,0,0.077,0.039
Lassen,Northern and Sierra,Heart Failure,3-5 years,0.47,0.227,0.135
Lassen,Northern and Sierra,Heart Failure,6-10 years,0.172,0.192,0.174
Lassen,Northern and Sierra,Heart Failure,11+ years,0.358,0.504,0.653
Lassen,Northern and Sierra,Hypertension,0-2 years,0,0.076,0.039
Lassen,Northern and Sierra,Hypertension,3-5 years,0.47,0.226,0.135
Lassen,Northern and Sierra,Hypertension,6-10 years,0.172,0.19,0.174
Lassen,Northern and Sierra,Hypertension,11+ years,0.358,0.507,0.653
Lassen,Northern and Sierra,Urinary Tract Infection,0-2 years,0,0.096,0.044
Lassen,Northern and Sierra,Urinary Tract Infection,3-5 years,0.362,0.225,0.144
Lassen,Northern and Sierra,Urinary Tract Infection,6-10 years,0.362,0.189,0.18
Lassen,Northern and Sierra,Urinary Tract Infection,11+ years,0.276,0.488,0.632
Los Angeles,Los Angeles County,Asthma in Younger Adults (Age 18-39),0-2 years,0.036,0.036,0.041
Los Angeles,Los Angeles County,Asthma in Younger Adults (Age 18-39),3-5 years,0.139,0.139,0.141
Los Angeles,Los Angeles County,Asthma in Younger Adults (Age 18-39),6-10 years,0.165,0.165,0.175
Los Angeles,Los Angeles County,Asthma in Younger Adults (Age 18-39),11+ years,0.66,0.66,0.642
Los Angeles,Los Angeles County,Community-Acquired Pneumonia,0-2 years,0.039,0.039,0.043
Los Angeles,Los Angeles County,Community-Acquired Pneumonia,3-5 years,0.142,0.142,0.141
Los Angeles,Los Angeles County,Community-Acquired Pneumonia,6-10 years,0.169,0.169,0.178
Los Angeles,Los Angeles County,Community-Acquired Pneumonia,11+ years,0.649,0.649,0.638
Los Angeles,Los Angeles County,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.036,0.036,0.041
Los Angeles,Los Angeles County,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.138,0.138,0.141
Los Angeles,Los Angeles County,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.165,0.165,0.175
Los Angeles,Los Angeles County,COPD or Asthma in Older Adults (Age 40+),11+ years,0.661,0.661,0.642
Los Angeles,Los Angeles County,Diabetes Composite,0-2 years,0.037,0.037,0.041
Los Angeles,Los Angeles County,Diabetes Composite,3-5 years,0.137,0.137,0.138
Los Angeles,Los Angeles County,Diabetes Composite,6-10 years,0.161,0.161,0.173
Los Angeles,Los Angeles County,Diabetes Composite,11+ years,0.665,0.665,0.647
Los Angeles,Los Angeles County,Heart Failure,0-2 years,0.034,0.034,0.039
Los Angeles,Los Angeles County,Heart Failure,3-5 years,0.135,0.135,0.135
Los Angeles,Los Angeles County,Heart Failure,6-10 years,0.161,0.161,0.174
Los Angeles,Los Angeles County,Heart Failure,11+ years,0.67,0.67,0.653
Los Angeles,Los Angeles County,Hypertension,0-2 years,0.034,0.034,0.039
Los Angeles,Los Angeles County,Hypertension,3-5 years,0.134,0.134,0.135
Los Angeles,Los Angeles County,Hypertension,6-10 years,0.162,0.162,0.174
Los Angeles,Los Angeles County,Hypertension,11+ years,0.67,0.67,0.653
Los Angeles,Los Angeles County,Urinary Tract Infection,0-2 years,0.037,0.037,0.044
Los Angeles,Los Angeles County,Urinary Tract Infection,3-5 years,0.145,0.145,0.144
Los Angeles,Los Angeles County,Urinary Tract Infection,6-10 years,0.17,0.17,0.18
Los Angeles,Los Angeles County,Urinary Tract Infection,11+ years,0.647,0.647,0.632
Madera,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),0-2 years,0.05,0.034,0.041
Madera,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),3-5 years,0.144,0.137,0.141
Madera,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),6-10 years,0.188,0.191,0.175
Madera,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),11+ years,0.618,0.639,0.642
Madera,San Joaquin Valley,Community-Acquired Pneumonia,0-2 years,0,0.032,0.043
Madera,San Joaquin Valley,Community-Acquired Pneumonia,3-5 years,0.11,0.135,0.141
Madera,San Joaquin Valley,Community-Acquired Pneumonia,6-10 years,0.228,0.191,0.178
Madera,San Joaquin Valley,Community-Acquired Pneumonia,11+ years,0.662,0.641,0.638
Madera,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.05,0.034,0.041
Madera,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.144,0.137,0.141
Madera,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.188,0.19,0.175
Madera,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),11+ years,0.618,0.639,0.642
Madera,San Joaquin Valley,Diabetes Composite,0-2 years,0,0.032,0.041
Madera,San Joaquin Valley,Diabetes Composite,3-5 years,0.095,0.131,0.138
Madera,San Joaquin Valley,Diabetes Composite,6-10 years,0.205,0.188,0.173
Madera,San Joaquin Valley,Diabetes Composite,11+ years,0.7,0.648,0.647
Madera,San Joaquin Valley,Heart Failure,0-2 years,0,0.029,0.039
Madera,San Joaquin Valley,Heart Failure,3-5 years,0.116,0.127,0.135
Madera,San Joaquin Valley,Heart Failure,6-10 years,0.151,0.18,0.174
Madera,San Joaquin Valley,Heart Failure,11+ years,0.734,0.664,0.653
Madera,San Joaquin Valley,Hypertension,0-2 years,0,0.031,0.039
Madera,San Joaquin Valley,Hypertension,3-5 years,0.113,0.126,0.135
Madera,San Joaquin Valley,Hypertension,6-10 years,0.147,0.177,0.174
Madera,San Joaquin Valley,Hypertension,11+ years,0.741,0.666,0.653
Madera,San Joaquin Valley,Urinary Tract Infection,0-2 years,0.051,0.035,0.044
Madera,San Joaquin Valley,Urinary Tract Infection,3-5 years,0.128,0.137,0.144
Madera,San Joaquin Valley,Urinary Tract Infection,6-10 years,0.274,0.191,0.18
Madera,San Joaquin Valley,Urinary Tract Infection,11+ years,0.547,0.636,0.632
Marin,Greater Bay Area,Asthma in Younger Adults (Age 18-39),0-2 years,0.055,0.041,0.041
Marin,Greater Bay Area,Asthma in Younger Adults (Age 18-39),3-5 years,0.201,0.138,0.141
Marin,Greater Bay Area,Asthma in Younger Adults (Age 18-39),6-10 years,0.251,0.169,0.175
Marin,Greater Bay Area,Asthma in Younger Adults (Age 18-39),11+ years,0.493,0.652,0.642
Marin,Greater Bay Area,Community-Acquired Pneumonia,0-2 years,0.072,0.042,0.043
Marin,Greater Bay Area,Community-Acquired Pneumonia,3-5 years,0.187,0.137,0.141
Marin,Greater Bay Area,Community-Acquired Pneumonia,6-10 years,0.252,0.168,0.178
Marin,Greater Bay Area,Community-Acquired Pneumonia,11+ years,0.489,0.653,0.638
Marin,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.054,0.041,0.041
Marin,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.198,0.138,0.141
Marin,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.251,0.17,0.175
Marin,Greater Bay Area,COPD or Asthma in Older Adults (Age 40+),11+ years,0.497,0.652,0.642
Marin,Greater Bay Area,Diabetes Composite,0-2 years,0.051,0.041,0.041
Marin,Greater Bay Area,Diabetes Composite,3-5 years,0.202,0.138,0.138
Marin,Greater Bay Area,Diabetes Composite,6-10 years,0.235,0.166,0.173
Marin,Greater Bay Area,Diabetes Composite,11+ years,0.512,0.655,0.647
Marin,Greater Bay Area,Heart Failure,0-2 years,0.051,0.04,0.039
Marin,Greater Bay Area,Heart Failure,3-5 years,0.214,0.132,0.135
Marin,Greater Bay Area,Heart Failure,6-10 years,0.232,0.173,0.174
Marin,Greater Bay Area,Heart Failure,11+ years,0.503,0.655,0.653
Marin,Greater Bay Area,Hypertension,0-2 years,0.051,0.04,0.039
Marin,Greater Bay Area,Hypertension,3-5 years,0.209,0.134,0.135
Marin,Greater Bay Area,Hypertension,6-10 years,0.23,0.174,0.174
Marin,Greater Bay Area,Hypertension,11+ years,0.51,0.653,0.653
Marin,Greater Bay Area,Urinary Tract Infection,0-2 years,0.058,0.046,0.044
Marin,Greater Bay Area,Urinary Tract Infection,3-5 years,0.18,0.139,0.144
Marin,Greater Bay Area,Urinary Tract Infection,6-10 years,0.231,0.178,0.18
Marin,Greater Bay Area,Urinary Tract Infection,11+ years,0.532,0.636,0.632
Mariposa,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0,0.088,0.041
Mariposa,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0,0.227,0.141
Mariposa,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.633,0.2,0.175
Mariposa,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.367,0.483,0.642
Mariposa,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0,0.086,0.043
Mariposa,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0,0.225,0.141
Mariposa,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.633,0.2,0.178
Mariposa,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.367,0.487,0.638
Mariposa,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0,0.087,0.041
Mariposa,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0,0.231,0.141
Mariposa,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.633,0.199,0.175
Mariposa,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.367,0.481,0.642
Mariposa,Northern and Sierra,Diabetes Composite,0-2 years,0,0.084,0.041
Mariposa,Northern and Sierra,Diabetes Composite,3-5 years,0,0.233,0.138
Mariposa,Northern and Sierra,Diabetes Composite,6-10 years,0.633,0.201,0.173
Mariposa,Northern and Sierra,Diabetes Composite,11+ years,0.367,0.481,0.647
Mariposa,Northern and Sierra,Heart Failure,0-2 years,0,0.077,0.039
Mariposa,Northern and Sierra,Heart Failure,3-5 years,0,0.227,0.135
Mariposa,Northern and Sierra,Heart Failure,6-10 years,0.629,0.192,0.174
Mariposa,Northern and Sierra,Heart Failure,11+ years,0.371,0.504,0.653
Mariposa,Northern and Sierra,Hypertension,0-2 years,0,0.076,0.039
Mariposa,Northern and Sierra,Hypertension,3-5 years,0,0.226,0.135
Mariposa,Northern and Sierra,Hypertension,6-10 years,0.629,0.19,0.174
Mariposa,Northern and Sierra,Hypertension,11+ years,0.371,0.507,0.653
Mariposa,Northern and Sierra,Urinary Tract Infection,0-2 years,0,0.096,0.044
Mariposa,Northern and Sierra,Urinary Tract Infection,3-5 years,0,0.225,0.144
Mariposa,Northern and Sierra,Urinary Tract Infection,6-10 years,0.633,0.189,0.18
Mariposa,Northern and Sierra,Urinary Tract Infection,11+ years,0.367,0.488,0.632
Mendocino,Northern and Sierra,Asthma in Younger Adults (Age 18-39),0-2 years,0.098,0.088,0.041
Mendocino,Northern and Sierra,Asthma in Younger Adults (Age 18-39),3-5 years,0.294,0.227,0.141
Mendocino,Northern and Sierra,Asthma in Younger Adults (Age 18-39),6-10 years,0.119,0.2,0.175
Mendocino,Northern and Sierra,Asthma in Younger Adults (Age 18-39),11+ years,0.489,0.483,0.642
Mendocino,Northern and Sierra,Community-Acquired Pneumonia,0-2 years,0.098,0.086,0.043
Mendocino,Northern and Sierra,Community-Acquired Pneumonia,3-5 years,0.294,0.225,0.141
Mendocino,Northern and Sierra,Community-Acquired Pneumonia,6-10 years,0.137,0.2,0.178
Mendocino,Northern and Sierra,Community-Acquired Pneumonia,11+ years,0.471,0.487,0.638
Mendocino,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.098,0.087,0.041
Mendocino,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.294,0.231,0.141
Mendocino,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.119,0.199,0.175
Mendocino,Northern and Sierra,COPD or Asthma in Older Adults (Age 40+),11+ years,0.489,0.481,0.642
Mendocino,Northern and Sierra,Diabetes Composite,0-2 years,0.088,0.084,0.041
Mendocino,Northern and Sierra,Diabetes Composite,3-5 years,0.323,0.233,0.138
Mendocino,Northern and Sierra,Diabetes Composite,6-10 years,0.166,0.201,0.173
Mendocino,Northern and Sierra,Diabetes Composite,11+ years,0.423,0.481,0.647
Mendocino,Northern and Sierra,Heart Failure,0-2 years,0.07,0.077,0.039
Mendocino,Northern and Sierra,Heart Failure,3-5 years,0.334,0.227,0.135
Mendocino,Northern and Sierra,Heart Failure,6-10 years,0.148,0.192,0.174
Mendocino,Northern and Sierra,Heart Failure,11+ years,0.448,0.504,0.653
Mendocino,Northern and Sierra,Hypertension,0-2 years,0.07,0.076,0.039
Mendocino,Northern and Sierra,Hypertension,3-5 years,0.334,0.226,0.135
Mendocino,Northern and Sierra,Hypertension,6-10 years,0.148,0.19,0.174
Mendocino,Northern and Sierra,Hypertension,11+ years,0.448,0.507,0.653
Mendocino,Northern and Sierra,Urinary Tract Infection,0-2 years,0.106,0.096,0.044
Mendocino,Northern and Sierra,Urinary Tract Infection,3-5 years,0.337,0.225,0.144
Mendocino,Northern and Sierra,Urinary Tract Infection,6-10 years,0.106,0.189,0.18
Mendocino,Northern and Sierra,Urinary Tract Infection,11+ years,0.451,0.488,0.632
Merced,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),0-2 years,0.027,0.034,0.041
Merced,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),3-5 years,0.151,0.137,0.141
Merced,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),6-10 years,0.256,0.191,0.175
Merced,San Joaquin Valley,Asthma in Younger Adults (Age 18-39),11+ years,0.566,0.639,0.642
Merced,San Joaquin Valley,Community-Acquired Pneumonia,0-2 years,0.026,0.032,0.043
Merced,San Joaquin Valley,Community-Acquired Pneumonia,3-5 years,0.149,0.135,0.141
Merced,San Joaquin Valley,Community-Acquired Pneumonia,6-10 years,0.268,0.191,0.178
Merced,San Joaquin Valley,Community-Acquired Pneumonia,11+ years,0.557,0.641,0.638
Merced,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),0-2 years,0.027,0.034,0.041
Merced,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),3-5 years,0.151,0.137,0.141
Merced,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),6-10 years,0.256,0.19,0.175
Merced,San Joaquin Valley,COPD or Asthma in Older Adults (Age 40+),11+ years,0.566,0.639,0.642
Merced,San Joaquin Valley,Diabetes Composite,0-2 years,0.025,0.032,0.041
Merced,San Joaquin Valley,Diabetes Composite,3-5 years,0.164,0.131,0.138
