Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc,count,population,obs_rate,risk_adj_rate,outcome_rate,county_upper,fips5
2006,Nevada,5,COPD or Asthma in Older Adults (Age 40+),200.0,56791.0,352.2,338.8,,,,,,,200.0,56791.0,352.2,338.8,338.8,NEVADA,06057
2007,Nevada,5,COPD or Asthma in Older Adults (Age 40+),165.0,57188.0,288.5,274.7,,,,,,,165.0,57188.0,288.5,274.7,274.7,NEVADA,06057
2008,Nevada,5,COPD or Asthma in Older Adults (Age 40+),198.0,57656.0,343.4,323.0,,,,,,,198.0,57656.0,343.4,323.0,323.0,NEVADA,06057
2009,Nevada,5,COPD or Asthma in Older Adults (Age 40+),245.0,58133.0,421.4,392.3,,,,,,,245.0,58133.0,421.4,392.3,392.3,NEVADA,06057
2010,Nevada,5,COPD or Asthma in Older Adults (Age 40+),226.0,58730.0,384.8,355.4,,,,,,,226.0,58730.0,384.8,355.4,355.4,NEVADA,06057
2011,Nevada,5,COPD or Asthma in Older Adults (Age 40+),205.0,59074.0,347.0,316.1,,,,,,,205.0,59074.0,347.0,316.1,316.1,NEVADA,06057
2012,Nevada,5,COPD or Asthma in Older Adults (Age 40+),202.0,59143.0,341.5,304.7,,,,,,,202.0,59143.0,341.5,304.7,304.7,NEVADA,06057
2013,Nevada,5,COPD or Asthma in Older Adults (Age 40+),198.0,59246.0,334.2,293.1,,,,,,,198.0,59246.0,334.2,293.1,293.1,NEVADA,06057
2014,Nevada,5,COPD or Asthma in Older Adults (Age 40+),213.0,60963.0,349.4,311.1,,,,,,,213.0,60963.0,349.4,311.1,311.1,NEVADA,06057
2015,Nevada,5,COPD or Asthma in Older Adults (Age 40+),151.0,44841.0,336.7,285.9,,,,,,,151.0,44841.0,336.7,285.9,285.9,NEVADA,06057
2016,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,106.0,60177.0,176.1,253.6,,,106.0,60177.0,176.1,253.6,253.6,NEVADA,06057
2017,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,138.0,60689.0,227.4,324.0,,,138.0,60689.0,227.4,324.0,324.0,NEVADA,06057
2018,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,117.0,61046.0,191.7,270.1,,,117.0,61046.0,191.7,270.1,270.1,NEVADA,06057
2019,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,171.0,61536.0,277.9,388.4,,,171.0,61536.0,277.9,388.4,388.4,NEVADA,06057
2020,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,45.0,63215.0,71.2,99.7,,,45.0,63215.0,71.2,99.7,99.7,NEVADA,06057
2021,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,76.0,63729.0,119.3,166.9,,,76.0,63729.0,119.3,166.9,166.9,NEVADA,06057
2022,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,65.0,63397.0,102.5,142.5,,,65.0,63397.0,102.5,142.5,142.5,NEVADA,06057
2023,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,37.0,63501.0,58.3,49.7,,,37.0,63501.0,58.3,49.7,49.7,NEVADA,06057
2024,Nevada,5,COPD or Asthma in Older Adults (Age 40+),,,,,34.0,63845.0,53.3,51.8,,,34.0,63845.0,53.3,51.8,51.8,NEVADA,06057
2005,Orange,5,COPD or Asthma in Older Adults (Age 40+),3665.0,1235286.0,296.7,324.5,,,,,,,3665.0,1235286.0,296.7,324.5,324.5,ORANGE,06059
2006,Orange,5,COPD or Asthma in Older Adults (Age 40+),3330.0,1249684.0,266.5,290.3,,,,,,,3330.0,1249684.0,266.5,290.3,290.3,ORANGE,06059
2007,Orange,5,COPD or Asthma in Older Adults (Age 40+),3550.0,1267102.0,280.2,302.8,,,,,,,3550.0,1267102.0,280.2,302.8,302.8,ORANGE,06059
2008,Orange,5,COPD or Asthma in Older Adults (Age 40+),4104.0,1290918.0,317.9,341.5,,,,,,,4104.0,1290918.0,317.9,341.5,341.5,ORANGE,06059
2009,Orange,5,COPD or Asthma in Older Adults (Age 40+),4070.0,1318500.0,308.7,329.7,,,,,,,4070.0,1318500.0,308.7,329.7,329.7,ORANGE,06059
2010,Orange,5,COPD or Asthma in Older Adults (Age 40+),4012.0,1346984.0,297.9,316.6,,,,,,,4012.0,1346984.0,297.9,316.6,316.6,ORANGE,06059
2011,Orange,5,COPD or Asthma in Older Adults (Age 40+),3832.0,1379970.0,277.7,293.3,,,,,,,3832.0,1379970.0,277.7,293.3,293.3,ORANGE,06059
2012,Orange,5,COPD or Asthma in Older Adults (Age 40+),3656.0,1408593.0,259.5,271.6,,,,,,,3656.0,1408593.0,259.5,271.6,271.6,ORANGE,06059
2013,Orange,5,COPD or Asthma in Older Adults (Age 40+),3494.0,1433856.0,243.7,252.2,,,,,,,3494.0,1433856.0,243.7,252.2,252.2,ORANGE,06059
2014,Orange,5,COPD or Asthma in Older Adults (Age 40+),2967.0,1450063.0,204.6,213.7,,,,,,,2967.0,1450063.0,204.6,213.7,213.7,ORANGE,06059
2015,Orange,5,COPD or Asthma in Older Adults (Age 40+),2336.0,1122541.0,208.1,211.9,,,,,,,2336.0,1122541.0,208.1,211.9,211.9,ORANGE,06059
2016,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,2765.0,1492465.0,185.3,319.8,,,2765.0,1492465.0,185.3,319.8,319.8,ORANGE,06059
2017,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,2989.0,1506714.0,198.4,338.1,,,2989.0,1506714.0,198.4,338.1,338.1,ORANGE,06059
2018,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,2201.0,1517388.0,145.1,243.9,,,2201.0,1517388.0,145.1,243.9,243.9,ORANGE,06059
2019,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,2129.0,1526618.0,139.5,231.6,,,2129.0,1526618.0,139.5,231.6,231.6,ORANGE,06059
2020,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,1179.0,1535851.0,76.8,127.5,,,1179.0,1535851.0,76.8,127.5,127.5,ORANGE,06059
2021,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,959.0,1542518.0,62.2,102.3,,,959.0,1542518.0,62.2,102.3,102.3,ORANGE,06059
2022,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,1102.0,1549654.0,71.1,115.7,,,1102.0,1549654.0,71.1,115.7,115.7,ORANGE,06059
2023,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,1303.0,1560154.0,83.5,106.3,,,1303.0,1560154.0,83.5,106.3,106.3,ORANGE,06059
2024,Orange,5,COPD or Asthma in Older Adults (Age 40+),,,,,1344.0,1584657.0,84.8,100.0,,,1344.0,1584657.0,84.8,100.0,100.0,ORANGE,06059
2005,Placer,5,COPD or Asthma in Older Adults (Age 40+),408.0,151593.0,269.1,277.2,,,,,,,408.0,151593.0,269.1,277.2,277.2,PLACER,06061
2006,Placer,5,COPD or Asthma in Older Adults (Age 40+),414.0,157881.0,262.2,266.7,,,,,,,414.0,157881.0,262.2,266.7,266.7,PLACER,06061
2007,Placer,5,COPD or Asthma in Older Adults (Age 40+),406.0,162238.0,250.2,252.0,,,,,,,406.0,162238.0,250.2,252.0,252.0,PLACER,06061
2008,Placer,5,COPD or Asthma in Older Adults (Age 40+),578.0,167241.0,345.6,344.5,,,,,,,578.0,167241.0,345.6,344.5,344.5,PLACER,06061
2009,Placer,5,COPD or Asthma in Older Adults (Age 40+),526.0,172092.0,305.7,302.1,,,,,,,526.0,172092.0,305.7,302.1,302.1,PLACER,06061
2010,Placer,5,COPD or Asthma in Older Adults (Age 40+),517.0,176773.0,292.5,287.0,,,,,,,517.0,176773.0,292.5,287.0,287.0,PLACER,06061
2011,Placer,5,COPD or Asthma in Older Adults (Age 40+),466.0,181875.0,256.2,249.0,,,,,,,466.0,181875.0,256.2,249.0,249.0,PLACER,06061
2012,Placer,5,COPD or Asthma in Older Adults (Age 40+),480.0,185445.0,258.8,248.2,,,,,,,480.0,185445.0,258.8,248.2,248.2,PLACER,06061
2013,Placer,5,COPD or Asthma in Older Adults (Age 40+),479.0,189634.0,252.6,238.7,,,,,,,479.0,189634.0,252.6,238.7,238.7,PLACER,06061
2014,Placer,5,COPD or Asthma in Older Adults (Age 40+),411.0,198883.0,206.7,197.5,,,,,,,411.0,198883.0,206.7,197.5,197.5,PLACER,06061
2015,Placer,5,COPD or Asthma in Older Adults (Age 40+),294.0,148428.0,198.1,183.0,,,,,,,294.0,148428.0,198.1,183.0,183.0,PLACER,06061
2016,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,335.0,198998.0,168.3,337.2,,,335.0,198998.0,168.3,337.2,337.2,PLACER,06061
2017,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,370.0,202828.0,182.4,362.2,,,370.0,202828.0,182.4,362.2,362.2,PLACER,06061
2018,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,263.0,207163.0,127.0,250.1,,,263.0,207163.0,127.0,250.1,250.1,PLACER,06061
2019,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,281.0,211616.0,132.8,259.7,,,281.0,211616.0,132.8,259.7,259.7,PLACER,06061
2020,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,191.0,215476.0,88.6,173.7,,,191.0,215476.0,88.6,173.7,173.7,PLACER,06061
2021,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,167.0,219672.0,76.0,148.8,,,167.0,219672.0,76.0,148.8,148.8,PLACER,06061
2022,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,196.0,223637.0,87.6,170.4,,,196.0,223637.0,87.6,170.4,170.4,PLACER,06061
2023,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,199.0,227840.0,87.3,122.0,,,199.0,227840.0,87.3,122.0,122.0,PLACER,06061
2024,Placer,5,COPD or Asthma in Older Adults (Age 40+),,,,,178.0,233571.0,76.2,99.2,,,178.0,233571.0,76.2,99.2,99.2,PLACER,06061
2005,Plumas,5,COPD or Asthma in Older Adults (Age 40+),61.0,12522.0,487.1,478.6,,,,,,,61.0,12522.0,487.1,478.6,478.6,PLUMAS,06063
2006,Plumas,5,COPD or Asthma in Older Adults (Age 40+),58.0,12445.0,466.1,456.3,,,,,,,58.0,12445.0,466.1,456.3,456.3,PLUMAS,06063
2007,Plumas,5,COPD or Asthma in Older Adults (Age 40+),65.0,12500.0,520.0,501.9,,,,,,,65.0,12500.0,520.0,501.9,501.9,PLUMAS,06063
2008,Plumas,5,COPD or Asthma in Older Adults (Age 40+),59.0,12446.0,474.0,447.9,,,,,,,59.0,12446.0,474.0,447.9,447.9,PLUMAS,06063
2009,Plumas,5,COPD or Asthma in Older Adults (Age 40+),67.0,12359.0,542.1,504.4,,,,,,,67.0,12359.0,542.1,504.4,504.4,PLUMAS,06063
2010,Plumas,5,COPD or Asthma in Older Adults (Age 40+),58.0,12321.0,470.7,432.7,,,,,,,58.0,12321.0,470.7,432.7,432.7,PLUMAS,06063
2011,Plumas,5,COPD or Asthma in Older Adults (Age 40+),56.0,12240.0,457.5,413.1,,,,,,,56.0,12240.0,457.5,413.1,413.1,PLUMAS,06063
2012,Plumas,5,COPD or Asthma in Older Adults (Age 40+),52.0,11972.0,434.3,383.1,,,,,,,52.0,11972.0,434.3,383.1,383.1,PLUMAS,06063
2013,Plumas,5,COPD or Asthma in Older Adults (Age 40+),53.0,11743.0,451.3,391.3,,,,,,,53.0,11743.0,451.3,391.3,391.3,PLUMAS,06063
2014,Plumas,5,COPD or Asthma in Older Adults (Age 40+),45.0,12227.0,368.0,325.2,,,,,,,45.0,12227.0,368.0,325.2,325.2,PLUMAS,06063
2015,Plumas,5,COPD or Asthma in Older Adults (Age 40+),36.0,8545.0,421.3,351.0,,,,,,,36.0,8545.0,421.3,351.0,351.0,PLUMAS,06063
2016,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,41.0,11591.0,353.7,440.7,,,41.0,11591.0,353.7,440.7,440.7,PLUMAS,06063
2017,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,43.0,11603.0,370.6,455.7,,,43.0,11603.0,370.6,455.7,455.7,PLUMAS,06063
2018,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,61.0,11666.0,522.9,636.0,,,61.0,11666.0,522.9,636.0,636.0,PLUMAS,06063
2019,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,40.0,11785.0,339.4,407.5,,,40.0,11785.0,339.4,407.5,407.5,PLUMAS,06063
2020,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,23.0,12285.0,187.2,226.1,,,23.0,12285.0,187.2,226.1,226.1,PLUMAS,06063
2021,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,12.0,12416.0,96.6,116.1,,,12.0,12416.0,96.6,116.1,116.1,PLUMAS,06063
2022,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,27.0,12207.0,221.2,262.0,,,27.0,12207.0,221.2,262.0,262.0,PLUMAS,06063
2023,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,23.0,12146.0,189.4,150.5,,,23.0,12146.0,189.4,150.5,150.5,PLUMAS,06063
2024,Plumas,5,COPD or Asthma in Older Adults (Age 40+),,,,,15.0,12029.0,124.7,92.2,,,15.0,12029.0,124.7,92.2,92.2,PLUMAS,06063
2005,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3474.0,781215.0,444.7,461.2,,,,,,,3474.0,781215.0,444.7,461.2,461.2,RIVERSIDE,06065
2006,Riverside,5,COPD or Asthma in Older Adults (Age 40+),2927.0,813630.0,359.7,374.4,,,,,,,2927.0,813630.0,359.7,374.4,374.4,RIVERSIDE,06065
2007,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3172.0,840563.0,377.4,392.6,,,,,,,3172.0,840563.0,377.4,392.6,392.6,RIVERSIDE,06065
2008,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3386.0,864044.0,391.9,406.2,,,,,,,3386.0,864044.0,391.9,406.2,406.2,RIVERSIDE,06065
2009,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3494.0,890144.0,392.5,405.2,,,,,,,3494.0,890144.0,392.5,405.2,405.2,RIVERSIDE,06065
2010,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3426.0,921249.0,371.9,383.3,,,,,,,3426.0,921249.0,371.9,383.3,383.3,RIVERSIDE,06065
2011,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3537.0,945477.0,374.1,383.8,,,,,,,3537.0,945477.0,374.1,383.8,383.8,RIVERSIDE,06065
2012,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3370.0,965169.0,349.2,354.7,,,,,,,3370.0,965169.0,349.2,354.7,354.7,RIVERSIDE,06065
2013,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3484.0,984775.0,353.8,355.2,,,,,,,3484.0,984775.0,353.8,355.2,355.2,RIVERSIDE,06065
2014,Riverside,5,COPD or Asthma in Older Adults (Age 40+),3176.0,1033082.0,307.4,316.0,,,,,,,3176.0,1033082.0,307.4,316.0,316.0,RIVERSIDE,06065
2015,Riverside,5,COPD or Asthma in Older Adults (Age 40+),2464.0,774947.0,318.0,314.4,,,,,,,2464.0,774947.0,318.0,314.4,314.4,RIVERSIDE,06065
2016,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,2983.0,1043389.0,285.9,401.0,,,2983.0,1043389.0,285.9,401.0,401.0,RIVERSIDE,06065
2017,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,3027.0,1065390.0,284.1,394.9,,,3027.0,1065390.0,284.1,394.9,394.9,RIVERSIDE,06065
2018,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,2270.0,1085691.0,209.1,288.2,,,2270.0,1085691.0,209.1,288.2,288.2,RIVERSIDE,06065
2019,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,2305.0,1104842.0,208.6,285.1,,,2305.0,1104842.0,208.6,285.1,285.1,RIVERSIDE,06065
2020,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,1429.0,1091874.0,130.9,179.4,,,1429.0,1091874.0,130.9,179.4,179.4,RIVERSIDE,06065
2021,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,1018.0,1111264.0,91.6,125.5,,,1018.0,1111264.0,91.6,125.5,125.5,RIVERSIDE,06065
2022,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,1325.0,1128295.0,117.4,160.2,,,1325.0,1128295.0,117.4,160.2,160.2,RIVERSIDE,06065
2023,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,1415.0,1153055.0,122.7,124.4,,,1415.0,1153055.0,122.7,124.4,124.4,RIVERSIDE,06065
2024,Riverside,5,COPD or Asthma in Older Adults (Age 40+),,,,,1346.0,1179713.0,114.1,132.5,,,1346.0,1179713.0,114.1,132.5,132.5,RIVERSIDE,06065
2005,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),2043.0,566365.0,360.7,387.4,,,,,,,2043.0,566365.0,360.7,387.4,387.4,SACRAMENTO,06067
2006,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),2050.0,573125.0,357.7,383.2,,,,,,,2050.0,573125.0,357.7,383.2,383.2,SACRAMENTO,06067
2007,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),2121.0,580836.0,365.2,389.1,,,,,,,2121.0,580836.0,365.2,389.1,389.1,SACRAMENTO,06067
2008,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),2533.0,590359.0,429.1,454.2,,,,,,,2533.0,590359.0,429.1,454.2,454.2,SACRAMENTO,06067
2009,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),2325.0,601470.0,386.6,407.3,,,,,,,2325.0,601470.0,386.6,407.3,407.3,SACRAMENTO,06067
2010,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),2445.0,612583.0,399.1,418.7,,,,,,,2445.0,612583.0,399.1,418.7,418.7,SACRAMENTO,06067
2011,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),2059.0,625068.0,329.4,343.0,,,,,,,2059.0,625068.0,329.4,343.0,343.0,SACRAMENTO,06067
2012,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),2051.0,635335.0,322.8,332.7,,,,,,,2051.0,635335.0,322.8,332.7,332.7,SACRAMENTO,06067
2013,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),1926.0,645635.0,298.3,303.9,,,,,,,1926.0,645635.0,298.3,303.9,303.9,SACRAMENTO,06067
2014,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),1876.0,658587.0,284.9,294.4,,,,,,,1876.0,658587.0,284.9,294.4,294.4,SACRAMENTO,06067
2015,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),1429.0,502694.0,284.3,284.5,,,,,,,1429.0,502694.0,284.3,284.5,284.5,SACRAMENTO,06067
2016,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,1760.0,674784.0,260.8,312.9,,,1760.0,674784.0,260.8,312.9,312.9,SACRAMENTO,06067
2017,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,2405.0,683937.0,351.6,418.1,,,2405.0,683937.0,351.6,418.1,418.1,SACRAMENTO,06067
2018,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,2019.0,691105.0,292.1,344.4,,,2019.0,691105.0,292.1,344.4,344.4,SACRAMENTO,06067
2019,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,1920.0,699976.0,274.3,321.2,,,1920.0,699976.0,274.3,321.2,321.2,SACRAMENTO,06067
2020,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,1133.0,719556.0,157.5,185.0,,,1133.0,719556.0,157.5,185.0,185.0,SACRAMENTO,06067
2021,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,1085.0,725291.0,149.6,175.1,,,1085.0,725291.0,149.6,175.1,175.1,SACRAMENTO,06067
2022,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,1294.0,730185.0,177.2,206.0,,,1294.0,730185.0,177.2,206.0,206.0,SACRAMENTO,06067
2023,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,1554.0,738630.0,210.4,207.5,,,1554.0,738630.0,210.4,207.5,207.5,SACRAMENTO,06067
2024,Sacramento,5,COPD or Asthma in Older Adults (Age 40+),,,,,1531.0,753249.0,203.3,207.4,,,1531.0,753249.0,203.3,207.4,207.4,SACRAMENTO,06067
2005,San Benito,5,COPD or Asthma in Older Adults (Age 40+),55.0,21592.0,254.7,298.2,,,,,,,55.0,21592.0,254.7,298.2,298.2,SAN BENITO,06069
2006,San Benito,5,COPD or Asthma in Older Adults (Age 40+),51.0,21837.0,233.5,271.4,,,,,,,51.0,21837.0,233.5,271.4,271.4,SAN BENITO,06069
2007,San Benito,5,COPD or Asthma in Older Adults (Age 40+),60.0,22134.0,271.1,312.8,,,,,,,60.0,22134.0,271.1,312.8,312.8,SAN BENITO,06069
2008,San Benito,5,COPD or Asthma in Older Adults (Age 40+),67.0,22529.0,297.4,339.8,,,,,,,67.0,22529.0,297.4,339.8,339.8,SAN BENITO,06069
2009,San Benito,5,COPD or Asthma in Older Adults (Age 40+),64.0,22930.0,279.1,315.8,,,,,,,64.0,22930.0,279.1,315.8,315.8,SAN BENITO,06069
2010,San Benito,5,COPD or Asthma in Older Adults (Age 40+),66.0,23714.0,278.3,313.6,,,,,,,66.0,23714.0,278.3,313.6,313.6,SAN BENITO,06069
2011,San Benito,5,COPD or Asthma in Older Adults (Age 40+),80.0,24329.0,328.8,366.8,,,,,,,80.0,24329.0,328.8,366.8,366.8,SAN BENITO,06069
2012,San Benito,5,COPD or Asthma in Older Adults (Age 40+),71.0,24677.0,287.7,315.3,,,,,,,71.0,24677.0,287.7,315.3,315.3,SAN BENITO,06069
2013,San Benito,5,COPD or Asthma in Older Adults (Age 40+),67.0,25049.0,267.5,288.2,,,,,,,67.0,25049.0,267.5,288.2,288.2,SAN BENITO,06069
2014,San Benito,5,COPD or Asthma in Older Adults (Age 40+),64.0,25407.0,251.9,275.3,,,,,,,64.0,25407.0,251.9,275.3,275.3,SAN BENITO,06069
2015,San Benito,5,COPD or Asthma in Older Adults (Age 40+),41.0,19599.0,209.2,219.3,,,,,,,41.0,19599.0,209.2,219.3,219.3,SAN BENITO,06069
2016,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,74.0,26301.0,281.4,534.0,,,74.0,26301.0,281.4,534.0,534.0,SAN BENITO,06069
2017,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,87.0,26721.0,325.6,612.3,,,87.0,26721.0,325.6,612.3,612.3,SAN BENITO,06069
2018,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,62.0,27227.0,227.7,426.6,,,62.0,27227.0,227.7,426.6,426.6,SAN BENITO,06069
2019,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,39.0,27861.0,140.0,259.8,,,39.0,27861.0,140.0,259.8,259.8,SAN BENITO,06069
2020,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,28.0,28697.0,97.6,181.5,,,28.0,28697.0,97.6,181.5,181.5,SAN BENITO,06069
2021,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,30.0,29547.0,101.5,189.0,,,30.0,29547.0,101.5,189.0,189.0,SAN BENITO,06069
2022,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,28.0,30214.0,92.7,172.1,,,28.0,30214.0,92.7,172.1,172.1,SAN BENITO,06069
2023,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,26.0,30845.0,84.3,114.4,,,26.0,30845.0,84.3,114.4,114.4,SAN BENITO,06069
2024,San Benito,5,COPD or Asthma in Older Adults (Age 40+),,,,,35.0,31596.0,110.8,162.4,,,35.0,31596.0,110.8,162.4,162.4,SAN BENITO,06069
2005,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),3026.0,720986.0,419.7,488.3,,,,,,,3026.0,720986.0,419.7,488.3,488.3,SAN BERNARDINO,06071
2006,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),2416.0,735888.0,328.3,381.4,,,,,,,2416.0,735888.0,328.3,381.4,381.4,SAN BERNARDINO,06071
2007,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),2504.0,748226.0,334.7,386.4,,,,,,,2504.0,748226.0,334.7,386.4,386.4,SAN BERNARDINO,06071
2008,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),3065.0,762577.0,401.9,459.8,,,,,,,3065.0,762577.0,401.9,459.8,459.8,SAN BERNARDINO,06071
2009,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),3111.0,777078.0,400.3,453.3,,,,,,,3111.0,777078.0,400.3,453.3,453.3,SAN BERNARDINO,06071
2010,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),3027.0,796924.0,379.8,427.3,,,,,,,3027.0,796924.0,379.8,427.3,427.3,SAN BERNARDINO,06071
2011,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),2996.0,813710.0,368.2,410.8,,,,,,,2996.0,813710.0,368.2,410.8,410.8,SAN BERNARDINO,06071
2012,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),3116.0,825534.0,377.5,415.3,,,,,,,3116.0,825534.0,377.5,415.3,415.3,SAN BERNARDINO,06071
2013,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),3080.0,837209.0,367.9,399.1,,,,,,,3080.0,837209.0,367.9,399.1,399.1,SAN BERNARDINO,06071
2014,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),2859.0,866625.0,329.9,365.3,,,,,,,2859.0,866625.0,329.9,365.3,365.3,SAN BERNARDINO,06071
2015,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),2227.0,651847.0,341.6,363.0,,,,,,,2227.0,651847.0,341.6,363.0,363.0,SAN BERNARDINO,06071
2016,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),,,,,2638.0,869490.0,303.4,389.1,,,2638.0,869490.0,303.4,389.1,389.1,SAN BERNARDINO,06071
2017,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),,,,,2970.0,881424.0,337.0,427.8,,,2970.0,881424.0,337.0,427.8,427.8,SAN BERNARDINO,06071
2018,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),,,,,2276.0,892108.0,255.1,320.9,,,2276.0,892108.0,255.1,320.9,320.9,SAN BERNARDINO,06071
2019,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),,,,,2068.0,902404.0,229.2,285.7,,,2068.0,902404.0,229.2,285.7,285.7,SAN BERNARDINO,06071
2020,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),,,,,1135.0,907334.0,125.1,156.5,,,1135.0,907334.0,125.1,156.5,156.5,SAN BERNARDINO,06071
2021,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),,,,,968.0,915202.0,105.8,132.0,,,968.0,915202.0,105.8,132.0,132.0,SAN BERNARDINO,06071
2022,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),,,,,1166.0,921809.0,126.5,157.1,,,1166.0,921809.0,126.5,157.1,157.1,SAN BERNARDINO,06071
2023,San Bernardino,5,COPD or Asthma in Older Adults (Age 40+),,,,,1408.0,937410.0,150.2,155.6,,,1408.0,937410.0,150.2,155.6,155.6,SAN BERNARDINO,06071
