Month of Eligibility,County,Health Delivery System,Health Plan,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2022-10,Butte,Fee-for-Service,Fee-for-Service,"13,483",,,F,09OCT2023
2022-10,Butte,Managed Care,Anthem Blue Cross Partnership Plan/Butte,"24,520",,,F,09OCT2023
2022-10,Butte,Managed Care,California Health and Wellness Plan/Butte,"47,597",,,F,09OCT2023
2022-10,Butte,Managed Care,Out of County Plan,926,,,F,09OCT2023
2022-10,Calaveras,Fee-for-Service,Fee-for-Service,"2,556",,,F,09OCT2023
2022-10,Calaveras,Managed Care,Anthem Blue Cross/Calaveras,"6,163",,,F,09OCT2023
2022-10,Calaveras,Managed Care,California Health and Wellness Plan/Calaveras,"5,620",,,F,09OCT2023
2022-10,Calaveras,Managed Care,Out of County Plan,185,,,F,09OCT2023
2022-10,Colusa,Fee-for-Service,Fee-for-Service,"1,837",,,F,09OCT2023
2022-10,Colusa,Managed Care,Anthem Blue Cross Partnership Plan/Colusa,"5,378",,,F,09OCT2023
2022-10,Colusa,Managed Care,California Health and Wellness Plan/Colusa,"4,154",,,F,09OCT2023
2022-10,Colusa,Managed Care,Out of County Plan,206,,,F,09OCT2023
2022-10,Contra Costa,Fee-for-Service,Fee-for-Service,"50,415",,,F,09OCT2023
2022-10,Contra Costa,Managed Care,Anthem Blue Cross/Contra Costa,"36,145",,,F,09OCT2023
2022-10,Contra Costa,Managed Care,Center for Elders Independence/Contra Costa,234,,,F,09OCT2023
2022-10,Contra Costa,Managed Care,Contra Costa Health Plan/Contra Costa,"235,940",,,F,09OCT2023
2022-10,Contra Costa,Managed Care,Out of County Plan,"3,812",,,F,09OCT2023
2022-10,Del Norte,Fee-for-Service,Fee-for-Service,552,,,F,09OCT2023
2022-10,Del Norte,Managed Care,Out of County Plan,129,,,F,09OCT2023
2022-10,Del Norte,Managed Care,Partnership Health Plan of California/Del Norte,"12,416",,,F,09OCT2023
2022-10,El Dorado,Fee-for-Service,Fee-for-Service,"7,678",,,F,09OCT2023
2022-10,El Dorado,Managed Care,Anthem Blue Cross Partnership Plan/El Dorado,"13,874",,,F,09OCT2023
2022-10,El Dorado,Managed Care,California Health and Wellness Plan/El Dorado,"19,262",,,F,09OCT2023
2022-10,El Dorado,Managed Care,Kaiser Permanente/El Dorado,"3,053",,,F,09OCT2023
2022-10,El Dorado,Managed Care,Out of County Plan,430,,,F,09OCT2023
2022-10,Fresno,Fee-for-Service,Fee-for-Service,"73,202",,,F,09OCT2023
2022-10,Fresno,Managed Care,Anthem Blue Cross Partnership Plan/Fresno,"139,971",,,F,09OCT2023
2022-10,Fresno,Managed Care,CalViva Health/Fresno,"332,867",,,F,09OCT2023
2022-10,Fresno,Managed Care,"Innovative Integrated Health, Inc/Fresno","1,149",,,F,09OCT2023
2022-10,Fresno,Managed Care,Out of County Plan,"2,573",,,F,09OCT2023
2022-10,Fresno,Managed Care,Sequoia PACE/Fresno,426,,,F,09OCT2023
2022-10,Glenn,Fee-for-Service,Fee-for-Service,"2,490",,,F,09OCT2023
2022-10,Glenn,Managed Care,Anthem Blue Cross Partnership Plan/Glenn,"2,779",,,F,09OCT2023
2022-10,Glenn,Managed Care,California Health and Wellness Plan/Glenn,"9,102",,,F,09OCT2023
2022-10,Glenn,Managed Care,Out of County Plan,168,,,F,09OCT2023
2022-10,Humboldt,Fee-for-Service,Fee-for-Service,"3,389",,,F,09OCT2023
2022-10,Humboldt,Managed Care,"Humboldt Senior Resource Center, Inc./Humboldt",242,,,F,09OCT2023
2022-10,Humboldt,Managed Care,Out of County Plan,500,,,F,09OCT2023
2022-10,Humboldt,Managed Care,Partnership Health Plan of California/Humboldt,"59,874",,,F,09OCT2023
2022-10,Imperial,Fee-for-Service,Fee-for-Service,"18,642",,,F,09OCT2023
2022-10,Imperial,Managed Care,California Health and Wellness Plan/Imperial,"72,715",,,F,09OCT2023
2022-10,Imperial,Managed Care,Molina Healthcare of California/Imperial,"17,281",,,F,09OCT2023
2022-10,Imperial,Managed Care,Out of County Plan,456,,,F,09OCT2023
2022-10,Inyo,Fee-for-Service,Fee-for-Service,"1,729",,,F,09OCT2023
2022-10,Inyo,Managed Care,Anthem Blue Cross Partnership Plan/Inyo,"2,862",,,F,09OCT2023
2022-10,Inyo,Managed Care,California Health and Wellness Plan/Inyo,"2,016",,,F,09OCT2023
2022-10,Inyo,Managed Care,Out of County Plan,61,,,F,09OCT2023
2022-10,Kern,Fee-for-Service,Fee-for-Service,"76,986",,,F,09OCT2023
2022-10,Kern,Managed Care,Health Net Community Solutions/Kern,"84,415",,,F,09OCT2023
2022-10,Kern,Managed Care,"IIH, Inc dba Bakersfield PACE/Kern",389,,,F,09OCT2023
2022-10,Kern,Managed Care,Kern Health Systems/Kern,"340,438",,,F,09OCT2023
2022-10,Kern,Managed Care,Out of County Plan,"2,513",,,F,09OCT2023
2022-10,Kings,Fee-for-Service,Fee-for-Service,"10,597",,,F,09OCT2023
2022-10,Kings,Managed Care,Anthem Blue Cross Partnership Plan/Kings,"23,606",,,F,09OCT2023
2022-10,Kings,Managed Care,CalViva Health/Kings,"35,377",,,F,09OCT2023
2022-10,Kings,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09OCT2023
2022-10,Kings,Managed Care,Sequoia PACE/Kings,,1,Cell suppressed for small numbers,F,09OCT2023
2022-10,Lake,Fee-for-Service,Fee-for-Service,"2,195",,,F,09OCT2023
2022-10,Lake,Managed Care,Out of County Plan,403,,,F,09OCT2023
2022-10,Lake,Managed Care,Partnership Health Plan of California/Lake,"34,315",,,F,09OCT2023
2022-10,Lassen,Fee-for-Service,Fee-for-Service,854,,,F,09OCT2023
2022-10,Lassen,Managed Care,Out of County Plan,241,,,F,09OCT2023
2022-10,Lassen,Managed Care,Partnership Health Plan of California/Lassen,"8,539",,,F,09OCT2023
2022-10,Los Angeles,Fee-for-Service,Fee-for-Service,"812,868",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,AIDS Healthcare Foundation/Los Angeles,807,,,F,09OCT2023
2022-10,Los Angeles,Managed Care,AltaMed Health Sr. Buena Care/Los Angeles,"3,804",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,Anthem Blue Cross (CMC)/Los Angeles,"1,792",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,Blue Shield of California Promise (CMC)/Los Angeles,"2,818",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,Brandman Centers for Senior Care/Los Angeles,,2,Cell suppressed for complementary cell,F,09OCT2023
2022-10,Los Angeles,Managed Care,ConcertoHealth PACE of Los Angeles/Los Angeles,,1,Cell suppressed for small numbers,F,09OCT2023
2022-10,Los Angeles,Managed Care,Health Net Community Solutions (CMC)/Los Angeles,"5,621",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,Health Net Community Solutions/Los Angeles,"1,100,609",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,L.A. Care Health Plan (CMC)/Los Angeles,"16,917",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,L.A. Care Health Plan/Los Angeles,"2,541,856",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,LA Coast PACE/Los Angeles,334,,,F,09OCT2023
2022-10,Los Angeles,Managed Care,Molina Healthcare of California (CMC)/Los Angeles,"1,193",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,Out of County Plan,"33,594",,,F,09OCT2023
2022-10,Los Angeles,Managed Care,Pacific PACE/Los Angeles,359,,,F,09OCT2023
2022-10,Los Angeles,Managed Care,SCAN Health Plan/Los Angeles,"10,382",,,F,09OCT2023
2022-10,Madera,Fee-for-Service,Fee-for-Service,"13,651",,,F,09OCT2023
2022-10,Madera,Managed Care,Anthem Blue Cross Partnership Plan/Madera,"26,906",,,F,09OCT2023
2022-10,Madera,Managed Care,CalViva Health/Madera,"44,563",,,F,09OCT2023
2022-10,Madera,Managed Care,Out of County Plan,717,,,F,09OCT2023
2022-10,Madera,Managed Care,Sequoia PACE/Madera,14,,,F,09OCT2023
2022-10,Marin,Fee-for-Service,Fee-for-Service,"7,660",,,F,09OCT2023
2022-10,Marin,Managed Care,Out of County Plan,669,,,F,09OCT2023
2022-10,Marin,Managed Care,Partnership Health Plan of California/Marin,"48,915",,,F,09OCT2023
2022-10,Mariposa,Fee-for-Service,Fee-for-Service,"1,089",,,F,09OCT2023
2022-10,Mariposa,Managed Care,Anthem Blue Cross Partnership Plan/Mariposa,"3,967",,,F,09OCT2023
2022-10,Mariposa,Managed Care,California Health and Wellness Plan/Mariposa,"1,040",,,F,09OCT2023
2022-10,Mariposa,Managed Care,Out of County Plan,114,,,F,09OCT2023
2022-10,Mendocino,Fee-for-Service,Fee-for-Service,"3,237",,,F,09OCT2023
2022-10,Mendocino,Managed Care,Out of County Plan,643,,,F,09OCT2023
2022-10,Mendocino,Managed Care,Partnership Health Plan of California/Mendocino,"40,599",,,F,09OCT2023
2022-10,Merced,Fee-for-Service,Fee-for-Service,"12,328",,,F,09OCT2023
2022-10,Merced,Managed Care,Central California Alliance for Health/Merced,"145,204",,,F,09OCT2023
2022-10,Merced,Managed Care,Out of County Plan,804,,,F,09OCT2023
2022-10,Modoc,Fee-for-Service,Fee-for-Service,213,,,F,09OCT2023
2022-10,Modoc,Managed Care,Out of County Plan,77,,,F,09OCT2023
2022-10,Modoc,Managed Care,Partnership Health Plan of California/Modoc,"3,702",,,F,09OCT2023
2022-10,Mono,Fee-for-Service,Fee-for-Service,655,,,F,09OCT2023
2022-10,Mono,Managed Care,Anthem Blue Cross Partnership Plan/Mono,"2,057",,,F,09OCT2023
2022-10,Mono,Managed Care,California Health and Wellness Plan/Mono,"1,019",,,F,09OCT2023
2022-10,Mono,Managed Care,Out of County Plan,186,,,F,09OCT2023
2022-10,Monterey,Fee-for-Service,Fee-for-Service,"38,588",,,F,09OCT2023
2022-10,Monterey,Managed Care,Central California Alliance for Health/Monterey,"182,738",,,F,09OCT2023
2022-10,Monterey,Managed Care,Out of County Plan,"1,148",,,F,09OCT2023
2022-10,Napa,Fee-for-Service,Fee-for-Service,"4,095",,,F,09OCT2023
2022-10,Napa,Managed Care,Out of County Plan,567,,,F,09OCT2023
2022-10,Napa,Managed Care,Partnership Health Plan of California/Napa,"34,014",,,F,09OCT2023
2022-10,Nevada,Fee-for-Service,Fee-for-Service,"5,050",,,F,09OCT2023
2022-10,Nevada,Managed Care,Anthem Blue Cross Partnership Plan/Nevada,"14,271",,,F,09OCT2023
2022-10,Nevada,Managed Care,California Health and Wellness Plan/Nevada,"9,838",,,F,09OCT2023
2022-10,Nevada,Managed Care,Out of County Plan,387,,,F,09OCT2023
2022-10,Orange,Fee-for-Service,Fee-for-Service,"119,665",,,F,09OCT2023
2022-10,Orange,Managed Care,AltaMed Senior Buena Care/Orange,259,,,F,09OCT2023
2022-10,Orange,Managed Care,CalOptima (CMC)/Orange,"14,137",,,F,09OCT2023
2022-10,Orange,Managed Care,CalOptima PACE/Orange,433,,,F,09OCT2023
2022-10,Orange,Managed Care,CalOptima/Orange,"906,090",,,F,09OCT2023
2022-10,Orange,Managed Care,Innovative Integrated Health PACE/Orange,40,,,F,09OCT2023
2022-10,Orange,Managed Care,Out of County Plan,"4,606",,,F,09OCT2023
2022-10,Placer,Fee-for-Service,Fee-for-Service,"13,892",,,F,09OCT2023
2022-10,Placer,Managed Care,Anthem Blue Cross Partnership Plan/Placer,"37,638",,,F,09OCT2023
2022-10,Placer,Managed Care,California Health and Wellness Plan/Placer,"12,793",,,F,09OCT2023
2022-10,Placer,Managed Care,InnovAge PACE/Placer,14,,,F,09OCT2023
2022-10,Placer,Managed Care,Kaiser Permanente/Placer,"12,305",,,F,09OCT2023
2022-10,Placer,Managed Care,Out of County Plan,843,,,F,09OCT2023
2022-10,Plumas,Fee-for-Service,Fee-for-Service,"1,278",,,F,09OCT2023
2022-10,Plumas,Managed Care,Anthem Blue Cross Partnership Plan/Plumas,"2,933",,,F,09OCT2023
2022-10,Plumas,Managed Care,California Health and Wellness Plan/Plumas,"2,618",,,F,09OCT2023
2022-10,Plumas,Managed Care,Out of County Plan,106,,,F,09OCT2023
2022-10,Riverside,Fee-for-Service,Fee-for-Service,"108,264",,,F,09OCT2023
2022-10,Riverside,Managed Care,Inland Empire Health Plan (CMC)/Riverside,"15,697",,,F,09OCT2023
2022-10,Riverside,Managed Care,Inland Empire Health Plan/Riverside,"769,806",,,F,09OCT2023
2022-10,Riverside,Managed Care,InnovAge PACE/Riverside,367,,,F,09OCT2023
2022-10,Riverside,Managed Care,Molina Healthcare of California (CMC)/Riverside,"1,310",,,F,09OCT2023
2022-10,Riverside,Managed Care,Molina Healthcare of California/Riverside,"105,193",,,F,09OCT2023
2022-10,Riverside,Managed Care,Neighborhood Healthcare PACE/Riverside,63,,,F,09OCT2023
2022-10,Riverside,Managed Care,Out of County Plan,"12,960",,,F,09OCT2023
2022-10,Riverside,Managed Care,SCAN Health Plan/Riverside,"2,662",,,F,09OCT2023
2022-10,STATEWIDE,STATEWIDE,STATEWIDE,"15,377,749",,Statewide Total by MOE,F,09OCT2023
2022-10,Sacramento,Fee-for-Service,Fee-for-Service,"96,164",,,F,09OCT2023
2022-10,Sacramento,Managed Care,Aetna Better Health/Sacramento,"21,322",,,F,09OCT2023
2022-10,Sacramento,Managed Care,Anthem Blue Cross/Sacramento,"215,529",,,F,09OCT2023
2022-10,Sacramento,Managed Care,Health Net Community Solutions/Sacramento,"131,979",,,F,09OCT2023
2022-10,Sacramento,Managed Care,InnovAge PACE/Sacramento,134,,,F,09OCT2023
2022-10,Sacramento,Managed Care,Kaiser Permanente/Sacramento,"115,916",,,F,09OCT2023
2022-10,Sacramento,Managed Care,Molina Healthcare of California/Sacramento,"57,965",,,F,09OCT2023
2022-10,Sacramento,Managed Care,Out of County Plan,"5,778",,,F,09OCT2023
2022-10,Sacramento,Managed Care,Sutter SeniorCare/Sacramento,442,,,F,09OCT2023
2022-10,San Benito,Fee-for-Service,Fee-for-Service,"10,428",,,F,09OCT2023
2022-10,San Benito,Managed Care,Anthem Blue Cross/San Benito,"10,929",,,F,09OCT2023
2022-10,San Benito,Managed Care,Out of County Plan,257,,,F,09OCT2023
2022-10,San Bernardino,Fee-for-Service,Fee-for-Service,"107,032",,,F,09OCT2023
2022-10,San Bernardino,Managed Care,Inland Empire Health Plan (CMC)/San Bernardino,"15,978",,,F,09OCT2023
2022-10,San Bernardino,Managed Care,Inland Empire Health Plan/San Bernardino,"761,902",,,F,09OCT2023
2022-10,San Bernardino,Managed Care,InnovAge PACE/San Bernardino,843,,,F,09OCT2023
2022-10,San Bernardino,Managed Care,Molina Healthcare of California (CMC)/San Bernardino,"1,134",,,F,09OCT2023
2022-10,San Bernardino,Managed Care,Molina Healthcare of California/San Bernardino,"98,440",,,F,09OCT2023
2022-10,San Bernardino,Managed Care,Neighborhood Healthcare PACE/San Bernardino,36,,,F,09OCT2023
2022-10,San Bernardino,Managed Care,Out of County Plan,"12,560",,,F,09OCT2023
2022-10,San Bernardino,Managed Care,SCAN Health Plan/San Bernardino,"1,830",,,F,09OCT2023
2022-10,San Diego,Fee-for-Service,Fee-for-Service,"116,883",,,F,09OCT2023
2022-10,San Diego,Managed Care,Aetna Better Health/San Diego,"27,821",,,F,09OCT2023
2022-10,San Diego,Managed Care,Blue Shield of California Promise (CMC)/San Diego,"2,625",,,F,09OCT2023
2022-10,San Diego,Managed Care,Blue Shield of California Promise/San Diego,"124,991",,,F,09OCT2023
2022-10,San Diego,Managed Care,Community Health Group (CMC)/San Diego,"6,697",,,F,09OCT2023
2022-10,San Diego,Managed Care,Community Health Group/San Diego,"328,373",,,F,09OCT2023
2022-10,San Diego,Managed Care,Family Health Centers of San Diego/San Diego,228,,,F,09OCT2023
2022-10,San Diego,Managed Care,Gary and Mary West PACE of N. San Diego/San Diego,272,,,F,09OCT2023
2022-10,San Diego,Managed Care,Health Net Community Solutions (CMC)/San Diego,"1,111",,,F,09OCT2023
2022-10,San Diego,Managed Care,Health Net Community Solutions/San Diego,"87,535",,,F,09OCT2023
2022-10,San Diego,Managed Care,Kaiser Permanente/San Diego,"66,209",,,F,09OCT2023
2022-10,San Diego,Managed Care,Molina Healthcare of California (CMC)/San Diego,"2,966",,,F,09OCT2023
2022-10,San Diego,Managed Care,Molina Healthcare of California/San Diego,"242,010",,,F,09OCT2023
2022-10,San Diego,Managed Care,Out of County Plan,"4,695",,,F,09OCT2023
2022-10,San Diego,Managed Care,San Diego PACE/San Diego,"2,224",,,F,09OCT2023
2022-10,San Diego,Managed Care,St. Paul's PACE/San Diego,"1,293",,,F,09OCT2023
2022-10,San Diego,Managed Care,UnitedHealthCare/San Diego,"30,398",,,F,09OCT2023
2022-10,San Francisco,Fee-for-Service,Fee-for-Service,"54,788",,,F,09OCT2023
2022-10,San Francisco,Managed Care,Anthem Blue Cross/San Francisco,"23,546",,,F,09OCT2023
2022-10,San Francisco,Managed Care,Family Mosaic Project/San Francisco,,1,Cell suppressed for small numbers,F,09OCT2023
2022-10,San Francisco,Managed Care,North East Medical Services PACE/San Francisco,,2,Cell suppressed for complementary cell,F,09OCT2023
2022-10,San Francisco,Managed Care,ONLOK Senior Health Services/San Francisco,"1,039",,,F,09OCT2023
2022-10,San Francisco,Managed Care,Out of County Plan,"2,473",,,F,09OCT2023
2022-10,San Francisco,Managed Care,San Francisco Health Plan/San Francisco,"166,613",,,F,09OCT2023
2022-10,San Joaquin,Fee-for-Service,Fee-for-Service,"52,516",,,F,09OCT2023
2022-10,San Joaquin,Managed Care,Central PACE/San Joaquin,,1,Cell suppressed for small numbers,F,09OCT2023
2022-10,San Joaquin,Managed Care,Health Net Community Solutions/San Joaquin,"25,724",,,F,09OCT2023
2022-10,San Joaquin,Managed Care,Health Plan of San Joaquin/San Joaquin,"254,991",,,F,09OCT2023
2022-10,San Joaquin,Managed Care,Health Plan of San Joaquin/Stanislaus,,2,Cell suppressed for complementary cell,F,09OCT2023
2022-10,San Joaquin,Managed Care,Out of County Plan,"1,857",,,F,09OCT2023
2022-10,San Joaquin,Managed Care,Stockton PACE/San Joaquin,436,,,F,09OCT2023
2022-10,San Luis Obispo,Fee-for-Service,Fee-for-Service,"4,970",,,F,09OCT2023
2022-10,San Luis Obispo,Managed Care,CenCal Health/San Luis Obispo,"65,430",,,F,09OCT2023
2022-10,San Luis Obispo,Managed Care,Out of County Plan,697,,,F,09OCT2023
2022-10,San Mateo,Fee-for-Service,Fee-for-Service,"24,527",,,F,09OCT2023
2022-10,San Mateo,Managed Care,Health Plan of San Mateo (CMC)/San Mateo,"8,712",,,F,09OCT2023
2022-10,San Mateo,Managed Care,Health Plan of San Mateo/San Mateo,"134,639",,,F,09OCT2023
2022-10,San Mateo,Managed Care,Out of County Plan,"1,121",,,F,09OCT2023
2022-10,Santa Barbara,Fee-for-Service,Fee-for-Service,"19,351",,,F,09OCT2023
2022-10,Santa Barbara,Managed Care,CenCal Health/Santa Barbara,"156,029",,,F,09OCT2023
2022-10,Santa Barbara,Managed Care,Out of County Plan,"1,129",,,F,09OCT2023
2022-10,Santa Clara,Fee-for-Service,Fee-for-Service,"67,776",,,F,09OCT2023
2022-10,Santa Clara,Managed Care,Anthem Blue Cross (CMC)/Santa Clara,"1,424",,,F,09OCT2023
2022-10,Santa Clara,Managed Care,Anthem Blue Cross/Santa Clara,"84,520",,,F,09OCT2023
2022-10,Santa Clara,Managed Care,ONLOK Lifeways/Santa Clara,378,,,F,09OCT2023
2022-10,Santa Clara,Managed Care,Out of County Plan,"2,879",,,F,09OCT2023
2022-10,Santa Clara,Managed Care,Santa Clara Family Health Plan (CMC)/Santa Clara,"10,353",,,F,09OCT2023
2022-10,Santa Clara,Managed Care,Santa Clara Family Health Plan/Santa Clara,"305,884",,,F,09OCT2023
2022-10,Santa Cruz,Fee-for-Service,Fee-for-Service,"9,178",,,F,09OCT2023
2022-10,Santa Cruz,Managed Care,Central California Alliance for Health/Santa Cruz,"77,562",,,F,09OCT2023
2022-10,Santa Cruz,Managed Care,Out of County Plan,"1,128",,,F,09OCT2023
2022-10,Shasta,Fee-for-Service,Fee-for-Service,"3,734",,,F,09OCT2023
2022-10,Shasta,Managed Care,Out of County Plan,848,,,F,09OCT2023
2022-10,Shasta,Managed Care,Partnership Health Plan of California/Shasta,"69,384",,,F,09OCT2023
2022-10,Sierra,Fee-for-Service,Fee-for-Service,205,,,F,09OCT2023
2022-10,Sierra,Managed Care,Anthem Blue Cross Partnership Plan/Sierra,370,,,F,09OCT2023
2022-10,Sierra,Managed Care,California Health and Wellness Plan/Sierra,267,,,F,09OCT2023
2022-10,Sierra,Managed Care,Out of County Plan,13,,,F,09OCT2023
2022-10,Siskiyou,Fee-for-Service,Fee-for-Service,"1,028",,,F,09OCT2023
2022-10,Siskiyou,Managed Care,Out of County Plan,543,,,F,09OCT2023
2022-10,Siskiyou,Managed Care,Partnership Health Plan of California/Siskiyou,"18,952",,,F,09OCT2023
2022-10,Solano,Fee-for-Service,Fee-for-Service,"11,012",,,F,09OCT2023
2022-10,Solano,Managed Care,Out of County Plan,"1,801",,,F,09OCT2023
2022-10,Solano,Managed Care,Partnership Health Plan of California/Solano,"131,597",,,F,09OCT2023
2022-10,Sonoma,Fee-for-Service,Fee-for-Service,"12,975",,,F,09OCT2023
2022-10,Sonoma,Managed Care,Out of County Plan,"1,176",,,F,09OCT2023
2022-10,Sonoma,Managed Care,Partnership Health Plan of California/Sonoma,"127,150",,,F,09OCT2023
2022-10,Stanislaus,Fee-for-Service,Fee-for-Service,"40,265",,,F,09OCT2023
2022-10,Stanislaus,Managed Care,Central PACE/Stanislaus,186,,,F,09OCT2023
2022-10,Stanislaus,Managed Care,Health Net Community Solutions/Stanislaus,"66,054",,,F,09OCT2023
2022-10,Stanislaus,Managed Care,Health Plan of San Joaquin/Stanislaus,"160,219",,,F,09OCT2023
2022-10,Stanislaus,Managed Care,Out of County Plan,"2,185",,,F,09OCT2023
2022-10,Stanislaus,Managed Care,Stockton PACE/Stanislaus,86,,,F,09OCT2023
2022-10,Sutter,Fee-for-Service,Fee-for-Service,"8,379",,,F,09OCT2023
2022-10,Sutter,Managed Care,Anthem Blue Cross Partnership Plan/Sutter,"24,676",,,F,09OCT2023
2022-10,Sutter,Managed Care,California Health and Wellness Plan/Sutter,"13,459",,,F,09OCT2023
2022-10,Sutter,Managed Care,InnovAge PACE/Sutter,,1,Cell suppressed for small numbers,F,09OCT2023
2022-10,Sutter,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09OCT2023
2022-10,Tehama,Fee-for-Service,Fee-for-Service,"6,200",,,F,09OCT2023
2022-10,Tehama,Managed Care,Anthem Blue Cross Partnership Plan/Tehama,"10,798",,,F,09OCT2023
2022-10,Tehama,Managed Care,California Health and Wellness Plan/Tehama,"14,902",,,F,09OCT2023
2022-10,Tehama,Managed Care,Out of County Plan,623,,,F,09OCT2023
2022-10,Trinity,Fee-for-Service,Fee-for-Service,302,,,F,09OCT2023
2022-10,Trinity,Managed Care,Out of County Plan,223,,,F,09OCT2023
2022-10,Trinity,Managed Care,Partnership Health Plan of California/Trinity,"5,631",,,F,09OCT2023
2022-10,Tulare,Fee-for-Service,Fee-for-Service,"41,359",,,F,09OCT2023
2022-10,Tulare,Managed Care,Anthem Blue Cross/Tulare,"123,331",,,F,09OCT2023
2022-10,Tulare,Managed Care,Health Net Community Solutions/Tulare,"124,583",,,F,09OCT2023
2022-10,Tulare,Managed Care,"IIH, Inc dba Bakersfield PACE/Tulare",,1,Cell suppressed for small numbers,F,09OCT2023
2022-10,Tulare,Managed Care,Out of County Plan,"1,416",,,F,09OCT2023
2022-10,Tulare,Managed Care,Sequoia PACE/Tulare,,2,Cell suppressed for complementary cell,F,09OCT2023
2022-10,Tuolumne,Fee-for-Service,Fee-for-Service,"2,913",,,F,09OCT2023
2022-10,Tuolumne,Managed Care,Anthem Blue Cross Partnership Plan/Tuolumne,"7,101",,,F,09OCT2023
2022-10,Tuolumne,Managed Care,California Health and Wellness Plan/Tuolumne,"5,849",,,F,09OCT2023
2022-10,Tuolumne,Managed Care,Out of County Plan,176,,,F,09OCT2023
2022-10,Ventura,Fee-for-Service,Fee-for-Service,"24,537",,,F,09OCT2023
2022-10,Ventura,Managed Care,Gold Coast Health Plan/Ventura,"240,142",,,F,09OCT2023
2022-10,Ventura,Managed Care,Out of County Plan,"1,428",,,F,09OCT2023
2022-10,Yolo,Fee-for-Service,Fee-for-Service,"5,429",,,F,09OCT2023
2022-10,Yolo,Managed Care,Out of County Plan,799,,,F,09OCT2023
2022-10,Yolo,Managed Care,Partnership Health Plan of California/Yolo,"58,309",,,F,09OCT2023
2022-10,Yuba,Fee-for-Service,Fee-for-Service,"6,643",,,F,09OCT2023
2022-10,Yuba,Managed Care,Anthem Blue Cross Partnership Plan/Yuba,"19,906",,,F,09OCT2023
2022-10,Yuba,Managed Care,California Health and Wellness Plan/Yuba,"11,463",,,F,09OCT2023
2022-10,Yuba,Managed Care,InnovAge PACE/Yuba,,1,Cell suppressed for small numbers,F,09OCT2023
2022-10,Yuba,Managed Care,Out of County Plan,,2,Cell suppressed for complementary cell,F,09OCT2023
2022-09,Alameda,Fee-for-Service,Fee-for-Service,"88,002",,,F,11SEP2023
2022-09,Alameda,Managed Care,Alameda Alliance for Health/Alameda,"313,796",,,F,11SEP2023
2022-09,Alameda,Managed Care,Anthem Blue Cross Partnership Plan/Alameda,"77,543",,,F,11SEP2023
2022-09,Alameda,Managed Care,Center for Elders Independence/Alameda,796,,,F,11SEP2023
2022-09,Alameda,Managed Care,ONLOK Senior Health Services/Alameda,328,,,F,11SEP2023
2022-09,Alameda,Managed Care,Out of County Plan,"5,288",,,F,11SEP2023
2022-09,Alpine,Fee-for-Service,Fee-for-Service,68,,,F,11SEP2023
2022-09,Alpine,Managed Care,Anthem Blue Cross Partnership Plan/Alpine,182,,,F,11SEP2023
2022-09,Alpine,Managed Care,California Health and Wellness Plan/Alpine,71,,,F,11SEP2023
2022-09,Alpine,Managed Care,Out of County Plan,14,,,F,11SEP2023
2022-09,Amador,Fee-for-Service,Fee-for-Service,"1,880",,,F,11SEP2023
2022-09,Amador,Managed Care,Anthem Blue Cross Partnership Plan/Amador,"6,055",,,F,11SEP2023
2022-09,Amador,Managed Care,California Health and Wellness Plan/Amador,"1,560",,,F,11SEP2023
2022-09,Amador,Managed Care,Kaiser Permanente/Amador,249,,,F,11SEP2023
2022-09,Amador,Managed Care,Out of County Plan,105,,,F,11SEP2023
2022-09,Butte,Fee-for-Service,Fee-for-Service,"13,433",,,F,11SEP2023
2022-09,Butte,Managed Care,Anthem Blue Cross Partnership Plan/Butte,"24,511",,,F,11SEP2023
2022-09,Butte,Managed Care,California Health and Wellness Plan/Butte,"47,418",,,F,11SEP2023
2022-09,Butte,Managed Care,Out of County Plan,890,,,F,11SEP2023
2022-09,Calaveras,Fee-for-Service,Fee-for-Service,"2,566",,,F,11SEP2023
2022-09,Calaveras,Managed Care,Anthem Blue Cross/Calaveras,"6,131",,,F,11SEP2023
2022-09,Calaveras,Managed Care,California Health and Wellness Plan/Calaveras,"5,627",,,F,11SEP2023
2022-09,Calaveras,Managed Care,Out of County Plan,185,,,F,11SEP2023
2022-09,Colusa,Fee-for-Service,Fee-for-Service,"1,848",,,F,11SEP2023
2022-09,Colusa,Managed Care,Anthem Blue Cross Partnership Plan/Colusa,"5,371",,,F,11SEP2023
2022-09,Colusa,Managed Care,California Health and Wellness Plan/Colusa,"4,120",,,F,11SEP2023
2022-09,Colusa,Managed Care,Out of County Plan,195,,,F,11SEP2023
2022-09,Contra Costa,Fee-for-Service,Fee-for-Service,"49,861",,,F,11SEP2023
